priority_rank,priority_tier,sap_module,sap_table,sap_field,sap_description,classification_bucket,top_canonical_concept_id,top_canonical_matches,top_knowledge_concept_id,top_knowledge_matches,suggested_action
31,P1,FI,ANLC,ANSWL,Transactions for the Year Affecting Asset Values,knowledge_only,,,acquisition cost,acquisition cost:1.00,promote_new_canonical_concept_or_attach_to_existing
31,P1,FI,ANLC,PSTPER,FI-AA: Depreciation calculation from period X,knowledge_only,,,period from,period from:0.55,promote_new_canonical_concept_or_attach_to_existing
31,P1,FI,BKPF,BLDAT,Document Date in Document,knowledge_only,,,ap invoice date,ap invoice date:1.00 | document date:1.00 | issue date:1.00,promote_new_canonical_concept_or_attach_to_existing
31,P1,FI,BKPF,CO_VALDT,Special Valuation Date for Cost Accounting,knowledge_only,,,document date,document date:0.55,promote_new_canonical_concept_or_attach_to_existing
31,P1,FI,BKPF,GLO_DAT1_HD,Country/Region Specific Date 1 in the Document,knowledge_only,,,document date,document date:0.55 | issue date:0.55,promote_new_canonical_concept_or_attach_to_existing
31,P1,FI,BKPF,GLO_DAT2_HD,Country/Region Specific Date 2 in the Document,knowledge_only,,,document date,document date:0.55 | issue date:0.55,promote_new_canonical_concept_or_attach_to_existing
31,P1,FI,BKPF,GLO_DAT3_HD,Country/Region Specific Date 3 in the Document,knowledge_only,,,document date,document date:0.55 | issue date:0.55,promote_new_canonical_concept_or_attach_to_existing
31,P1,FI,BKPF,GLO_DAT4_HD,Country/Region Specific Date 4 in the Document,knowledge_only,,,document date,document date:0.55 | issue date:0.55,promote_new_canonical_concept_or_attach_to_existing
31,P1,FI,BKPF,GLO_DAT5_HD,Country/Region Specific Date 5 in the Document,knowledge_only,,,document date,document date:0.55 | issue date:0.55,promote_new_canonical_concept_or_attach_to_existing
31,P1,FI,BKPF,INWARDDT_HD,Incoming Document Date,knowledge_only,,,document date,document date:0.55 | issue date:0.55,promote_new_canonical_concept_or_attach_to_existing
31,P1,FI,BKPF,OFFSET_REFER_DAT,Date Record Referred to Treasury,knowledge_only,,,address valid to,address valid to:0.55 | leave to:0.55 | period to:0.55,promote_new_canonical_concept_or_attach_to_existing
31,P1,FI,BKPF,REPROCESSING_STATUS_CODE,Reprocessing status code,knowledge_only,,,status code,status code:0.70,promote_new_canonical_concept_or_attach_to_existing
31,P1,FI,BKPF,UPDDT,Date of the Last Document Update,knowledge_only,,,document date,document date:0.55 | issue date:0.55,promote_new_canonical_concept_or_attach_to_existing
