priority_rank,priority_tier,sap_module,sap_table,sap_field,sap_description,classification_bucket,top_canonical_concept_id,top_canonical_matches,top_knowledge_concept_id,top_knowledge_matches,suggested_action
22,P2,MM,EBAN,FSH_ITEM_GROUP,Item Group,strong_canonical_candidate,material.number,material.number:0.75,,,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EBAN,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EBAN,PRODUCTTYPE,Product Type Group,strong_canonical_candidate,material.type_code,material.type_code:0.80 | product.category:0.60 | material.raw_material_group_id:0.50,material type,material type:1.00 | material group:0.55,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EBAN,SRM_CONTRACT_ID,Central Contract,strong_canonical_candidate,contract.id,contract.id:0.75 | activity id:0.60 | case.id:0.60,contract number,contract number:0.70 | contract reference:0.70 | contract.id:0.70,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EKKO,COMP,Legal competence,strong_canonical_candidate,account.name,account.name:0.80 | company.id:0.80 | company.name:0.80,company name,company name:1.00 | component:1.00,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EKKO,CONT,Contract,strong_canonical_candidate,container.id,container.id:0.80,container id,container id:1.00,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EKKO,FSH_ITEM_GROUP,Item Group,strong_canonical_candidate,material.number,material.number:0.75,,,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EKKO,FSH_VAS_LAST_ITEM,Last VAS Item Number,strong_canonical_candidate,material.number,material.number:0.75,,,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EKKO,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EKKO,PARENT_ID,ID of the Parent Document,strong_canonical_candidate,employee.manager_id,employee.manager_id:0.80 | activity id:0.60 | company.id:0.60,manager id,manager id:1.00 | manager reports to:1.00 | parent company:1.00,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EKKO,VSART,Shipping Type,strong_canonical_candidate,shipment.carrier,shipment.carrier:0.80,shipping method,shipping method:1.00,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EKPO,DEP_ID,Department,strong_canonical_candidate,employee.department,employee.department:1.00 | department.id:0.70 | division.id:0.70,employee.department,employee.department:1.00 | department:0.90 | department.name:0.90,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EKPO,FSH_ATP_DATE,Starting Date with ATP,strong_canonical_candidate,available_to_promise.date,available_to_promise.date:0.75,,,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EKPO,FSH_ITEM_GROUP,Item Group,strong_canonical_candidate,material.number,material.number:0.75,,,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EKPO,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EKPO,PROCMT_HUB_SOURCE_SYSTEM,Source Connected System ID,strong_canonical_candidate,audit.source_system,audit.source_system:0.75 | activity id:0.60 | company.id:0.60,activity id,activity id:0.55 | company.id:0.55 | contact.id:0.55,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EKPO,PRODUCTTYPE,Product Type Group,strong_canonical_candidate,material.type_code,material.type_code:0.80 | product.category:0.60 | material.raw_material_group_id:0.50,material type,material type:1.00 | material group:0.55,promote_existing_canonical_alias_after_quick_review
22,P2,MM,EKPO,SRM_CONTRACT_ID,Central Contract,strong_canonical_candidate,contract.id,contract.id:0.75 | activity id:0.60 | case.id:0.60,contract number,contract number:0.70 | contract reference:0.70 | contract.id:0.70,promote_existing_canonical_alias_after_quick_review
