priority_rank,priority_tier,sap_module,sap_table,sap_field,sap_description,classification_bucket,top_canonical_concept_id,top_canonical_matches,top_knowledge_concept_id,top_knowledge_matches,suggested_action
12,P2,SD,KNA1,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,KNA1,NAME2,Name 2,strong_canonical_candidate,location.name,location.name:0.80 | supplier.name:0.80,contact.name,contact.name:1.00 | customer name 2:1.00 | trade name:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,KNB1,AKONT,Reconciliation Account in General Ledger,strong_canonical_candidate,account.id,account.id:0.80 | gl_account.id:0.60,reconciliation account,reconciliation account:1.00 | gl account:0.55,promote_existing_canonical_alias_after_quick_review
12,P2,SD,KNB1,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,KNB1,ZWELS,List of Respected Payment Methods,strong_canonical_candidate,payment.method_code,payment.method_code:1.00,payment.method_code,payment.method_code:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,KNVV,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,KONV,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,LIKP,FSH_VAS_LAST_ITEM,Last VAS Item Number,strong_canonical_candidate,material.number,material.number:0.75,,,promote_existing_canonical_alias_after_quick_review
12,P2,SD,LIKP,GBSTK,Overall Processing Status (Header/All Items),strong_canonical_candidate,supplier.region_code,supplier.region_code:0.80,order status,order status:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,LIKP,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,LIKP,VSART,Shipping Type,strong_canonical_candidate,shipment.carrier,shipment.carrier:0.80,shipping method,shipping method:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,LIPS,FSH_ITEM_GROUP,Item Group,strong_canonical_candidate,material.number,material.number:0.75,,,promote_existing_canonical_alias_after_quick_review
12,P2,SD,LIPS,KONTO,G/L Account Number,strong_canonical_candidate,gl_account.id,gl_account.id:0.80 | account.id:0.60 | supplier_bank_account.account_number:0.60,gl account,gl account:1.00 | account number:0.55 | bank account employee:0.55,promote_existing_canonical_alias_after_quick_review
12,P2,SD,LIPS,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,LIPS,RECIPIENT_LOCATION_CODE,Recipient location code,strong_canonical_candidate,location.id,location.id:0.75,,,promote_existing_canonical_alias_after_quick_review
12,P2,SD,LIPS,UM_PS_PSP_PNR,Receiving/Issuing (WBS Element),strong_canonical_candidate,project.wbs_element_id,project.wbs_element_id:0.75 | project.id:0.60,wbs element,wbs element:0.55,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAK,APM_APPROVAL_STATUS,Document Approval Status,strong_canonical_candidate,approval.status,approval.status:0.75 | supplier.region_code:0.60,approval status,approval status:0.70 | document status:0.55,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAK,BNAME,Name of orderer,strong_canonical_candidate,account.name,account.name:0.80,username,username:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAK,GBSTK,Overall Processing Status (Header/All Items),strong_canonical_candidate,supplier.region_code,supplier.region_code:0.80,order status,order status:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAK,KTEXT,Search term for product proposal,strong_canonical_candidate,cost_center.name,cost_center.name:0.80,cost center name,cost center name:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAK,LAST_CHANGED_BY_USER,User Who Last Changed the Business Document,strong_canonical_candidate,audit.changed_by,audit.changed_by:0.75 | document.changed_date:0.75,document.changed_date,document.changed_date:0.70,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAK,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAP,CAPPED_NET_AMOUNT,Net Amount Cap,strong_canonical_candidate,net_price_amount,net_price_amount:0.75 | invoice.amount:0.60 | price.unit:0.60,net amount,net amount:0.70 | gross amount:0.55 | invoice amount:0.55,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAP,CAPPED_NET_AMOUNT_ALERT_THLD,Notification Threshold (in Pct) for Exceeded Net Amount Cap,strong_canonical_candidate,net_price_amount,net_price_amount:0.75 | invoice.amount:0.60 | price.unit:0.60,net amount,net amount:0.70 | gross amount:0.55 | invoice amount:0.55,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAP,EXT_REF_ITEM_ID,External Item ID,strong_canonical_candidate,material.id,material.id:0.75 | product.id:0.75 | activity id:0.60,external id,external id:0.70 | item id:0.70 | material number:0.70,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAP,FSH_ITEM_GROUP,Item Group,strong_canonical_candidate,material.number,material.number:0.75,,,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAP,KWMENG,Cumulative order quantity in sales units,strong_canonical_candidate,manufacturing_order.quantity,manufacturing_order.quantity:0.80 | production_order.quantity:0.60 | sales_order.id:0.60,quantity ordered,quantity ordered:1.00 | so order quantity:1.00 | po order quantity:0.55,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAP,LMD_SCHEDULED_DELIVERY_DATE,Last Mile Distribution Scheduled Delivery Date,strong_canonical_candidate,delivery.planned_delivery_date,delivery.planned_delivery_date:0.75,delivery date,delivery date:0.70,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAP,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAP,SERVICE_DOC_ID,Service Document ID,strong_canonical_candidate,service.id,service.id:0.75 | activity id:0.60 | attachment.id:0.60,document id,document id:0.70 | activity id:0.55 | company.id:0.55,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAP,SERVICE_DOC_ITEM_ID,Service Document Item ID,strong_canonical_candidate,material.id,material.id:0.75 | product.id:0.75 | service.id:0.75,document id,document id:0.70 | item id:0.70 | material number:0.70,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAP,SESSION_CREATION_DATE,Date of the Session During Which the Record Was Created,strong_canonical_candidate,document.created_date,document.created_date:0.75,created date,created date:0.70,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBAP,TAXM1,Tax Classification for Material,strong_canonical_candidate,tax.id,tax.id:0.80,tax class,tax class:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBKD,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBKD,VSART,Shipping Type,strong_canonical_candidate,shipment.carrier,shipment.carrier:0.80,shipping method,shipping method:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBPA,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBRK,APM_APPROVAL_STATUS,Document Approval Status,strong_canonical_candidate,approval.status,approval.status:0.75 | supplier.region_code:0.60,approval status,approval status:0.70 | document status:0.55,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBRK,GBSTK,Overall Processing Status (Header/All Items),strong_canonical_candidate,supplier.region_code,supplier.region_code:0.80,order status,order status:1.00,promote_existing_canonical_alias_after_quick_review
12,P2,SD,VBRK,MANDT,Client,strong_canonical_candidate,account.id,account.id:0.80 | activity id:0.80 | address.city:0.80,client id,client id:1.00 | primary key:1.00 | record id:1.00,promote_existing_canonical_alias_after_quick_review
