scope,scope_value,total_rows,classification_bucket,row_count,ratio
overall,ALL,10738,description_alias_match,105,0.0098
overall,ALL,10738,direct_alias_match,1917,0.1785
overall,ALL,10738,knowledge_only,3205,0.2985
overall,ALL,10738,strong_canonical_candidate,2561,0.2385
overall,ALL,10738,weak_canonical_candidate,2950,0.2747
module,CO,382,direct_alias_match,107,0.2801
module,CO,382,knowledge_only,47,0.1230
module,CO,382,strong_canonical_candidate,173,0.4529
module,CO,382,weak_canonical_candidate,55,0.1440
module,FI,1809,description_alias_match,36,0.0199
module,FI,1809,direct_alias_match,391,0.2161
module,FI,1809,knowledge_only,465,0.2570
module,FI,1809,strong_canonical_candidate,270,0.1493
module,FI,1809,weak_canonical_candidate,647,0.3577
module,HR,718,description_alias_match,15,0.0209
module,HR,718,direct_alias_match,119,0.1657
module,HR,718,knowledge_only,135,0.1880
module,HR,718,strong_canonical_candidate,333,0.4638
module,HR,718,weak_canonical_candidate,116,0.1616
module,MM,1963,description_alias_match,7,0.0036
module,MM,1963,direct_alias_match,291,0.1482
module,MM,1963,knowledge_only,727,0.3704
module,MM,1963,strong_canonical_candidate,378,0.1926
module,MM,1963,weak_canonical_candidate,560,0.2853
module,PM,202,description_alias_match,1,0.0050
module,PM,202,direct_alias_match,38,0.1881
module,PM,202,knowledge_only,67,0.3317
module,PM,202,strong_canonical_candidate,58,0.2871
module,PM,202,weak_canonical_candidate,38,0.1881
module,PP,1235,description_alias_match,11,0.0089
module,PP,1235,direct_alias_match,208,0.1684
module,PP,1235,knowledge_only,485,0.3927
module,PP,1235,strong_canonical_candidate,225,0.1822
module,PP,1235,weak_canonical_candidate,306,0.2478
module,S/4HANA,1235,description_alias_match,7,0.0057
module,S/4HANA,1235,direct_alias_match,218,0.1765
module,S/4HANA,1235,knowledge_only,275,0.2227
module,S/4HANA,1235,strong_canonical_candidate,359,0.2907
module,S/4HANA,1235,weak_canonical_candidate,376,0.3045
module,SD,2449,description_alias_match,22,0.0090
module,SD,2449,direct_alias_match,400,0.1633
module,SD,2449,knowledge_only,691,0.2822
module,SD,2449,strong_canonical_candidate,583,0.2381
module,SD,2449,weak_canonical_candidate,753,0.3075
module,UNKNOWN,745,description_alias_match,6,0.0081
module,UNKNOWN,745,direct_alias_match,145,0.1946
module,UNKNOWN,745,knowledge_only,313,0.4201
module,UNKNOWN,745,strong_canonical_candidate,182,0.2443
module,UNKNOWN,745,weak_canonical_candidate,99,0.1329
