sap_module,sap_table,sap_field,sap_description,classification_bucket,canonical_concept_id,context_added,status
MM,MARA,MATNR,Material Number,direct_alias_match,material.erp_material_number,false,already_present
MM,MARA,ERSDA,Created On,direct_alias_match,document.created_date,false,already_present
MM,MARA,ERNAM,Name of Person Responsible for Creating the Object,direct_alias_match,audit.created_by,false,already_present
MM,MARA,AENAM,Name of Person Who Changed Object,direct_alias_match,audit.changed_by,false,already_present
MM,MARA,LVORM,Flag Material for Deletion at Client Level,direct_alias_match,material.deletion_mark,false,already_present
MM,MARA,MTART,Material Type,direct_alias_match,material.type_code,false,already_present
MM,MARA,MATKL,Material Group,direct_alias_match,material.raw_material_group_id,false,already_present
MM,MARA,BISMT,Old material number,direct_alias_match,material.engineering_part_number,false,already_present
MM,MARA,MEINS,Base Unit of Measure,direct_alias_match,material.base_uom_code,false,already_present
MM,MARA,ZEINR,Document number (without document management system),direct_alias_match,material.drawing_number,false,already_present
MM,MARA,BRGEW,Gross Weight,direct_alias_match,material.gross_weight,false,already_present
MM,MARA,NTGEW,Net Weight,direct_alias_match,material.net_weight,false,already_present
MM,MARA,GEWEI,Unit of Weight,direct_alias_match,material.weight_unit_code,false,already_present
MM,MARA,VOLUM,Volume,direct_alias_match,shipment.volume,false,already_present
MM,MARA,VOLEH,Volume Unit,direct_alias_match,volume.unit_code,false,already_present
MM,MARA,SPART,Division,direct_alias_match,division.id,false,already_present
MM,MARA,KUNNR,Competitor,direct_alias_match,customer.id,false,already_present
MM,MARA,LAENG,Length,description_alias_match,opportunity.probability,false,already_present
MM,MARA,PRDHA,Product Hierarchy,direct_alias_match,product.category,false,already_present
MM,MARA,XCHPF,Batch Management Requirement Indicator,direct_alias_match,material.batch_managed_flag,false,already_present
MM,MARA,DATAB,Valid-From Date,direct_alias_match,validity.start_date,false,already_present
MM,MARA,MFRPN,Manufacturer Part Number,direct_alias_match,material.manufacturer_part_number,false,already_present
MM,MARA,MFRNR,Number of a Manufacturer,direct_alias_match,manufacturer.id,false,already_present
MM,MARA,SLED_BBD,Expiration Date,direct_alias_match,inventory_lot.expiration_date,false,already_present
MM,MARA,HERKL,Country/Region of Origin of Material (Non-Preferential Ori.),direct_alias_match,material.country_of_origin_code,false,already_present
MM,MARA,PRD_STARTDT,Production Start Date,direct_alias_match,production_order.planned_start_date,false,already_present
MM,MARA,/STTPEC/PRDCAT,Product Category,direct_alias_match,material_group.id,false,already_present
MM,MAKT,MATNR,Material Number,direct_alias_match,material.erp_material_number,false,already_present
MM,MAKT,SPRAS,Language Key,direct_alias_match,customer.language_code,false,already_present
MM,MARC,MATNR,Material Number,direct_alias_match,material.erp_material_number,false,already_present
MM,MARC,WERKS,Plant,direct_alias_match,plant.id,false,already_present
MM,MARC,LVORM,Flag Material for Deletion at Plant Level,direct_alias_match,material.deletion_mark,false,already_present
MM,MARC,MMSTA,Plant-Specific Material Status,direct_alias_match,product.lifecycle_status,false,already_present
MM,MARC,EKGRP,Purchasing Group,direct_alias_match,purchasing_group.id,false,already_present
MM,MARC,BESKZ,Procurement Type,direct_alias_match,make_or_buy.indicator,false,already_present
MM,MARC,MINBE,Reorder Point,direct_alias_match,inventory_policy.reorder_point,false,already_present
MM,MARC,EISBE,Safety Stock,direct_alias_match,inventory_policy.safety_stock_quantity,false,already_present
MM,MARC,XCHPF,Batch Management Requirement Indicator for Plant,direct_alias_match,material.batch_managed_flag,false,already_present
MM,MARC,STAWN,Commodity Code,direct_alias_match,material.hts_code,false,already_present
MM,MARC,HERKL,Country/Region of Origin of Material (Non-Preferential Ori.),direct_alias_match,material.country_of_origin_code,false,already_present
MM,MARC,PRCTR,Profit Center,direct_alias_match,profit_center.id,false,already_present
MM,MARC,PLNNR,Key for Task List Group,direct_alias_match,route.id,false,already_present
MM,MARD,MATNR,Material Number,direct_alias_match,material.erp_material_number,false,already_present
MM,MARD,WERKS,Plant,direct_alias_match,plant.id,false,already_present
MM,MARD,LGORT,Storage Location,direct_alias_match,storage_location.id,false,already_present
MM,MARD,LVORM,Flag Material for Deletion at Storage Location Level,direct_alias_match,material.deletion_mark,false,already_present
MM,MARD,SPERR,Physical Inventory Blocking Indicator,direct_alias_match,supplier.posting_block_flag,false,already_present
MM,MARD,LABST,Valuated Unrestricted-Use Stock,direct_alias_match,stock.quantity,false,already_present
MM,MARD,HERKL,Country/Region of Origin of Material (Non-Preferential Ori.),direct_alias_match,material.country_of_origin_code,false,already_present
MM,MARD,LGPBE,Storage Bin,direct_alias_match,warehouse_bin.id,false,already_present
MM,MARD,PRCTL,Profit Center,direct_alias_match,profit_center.id,false,already_present
MM,MARD,ERSDA,Created On,direct_alias_match,document.created_date,false,already_present
MM,MARD,FSH_SALLOC_QTY_S,Allocated Stock Quantity,direct_alias_match,inventory_reservation.quantity,false,already_present
MM,MBEW,MATNR,Material Number,direct_alias_match,material.erp_material_number,false,already_present
MM,MBEW,LVORM,Deletion flag for all material data of a valuation type,direct_alias_match,material.deletion_mark,false,already_present
MM,MBEW,LBKUM,Total Valuated Stock,direct_alias_match,stock.quantity,false,already_present
MM,MBEW,PEINH,Price unit,direct_alias_match,price.unit,false,already_present
MM,MBEW,PDATV,Fiscal Year of Previous Standard Cost Estimate,direct_alias_match,quote.valid_from_date,false,already_present
MM,MARM,MATNR,Material Number,direct_alias_match,material.erp_material_number,false,already_present
MM,MARM,MEINH,Alternative Unit of Measure for Stockkeeping Unit,direct_alias_match,uom.code,false,already_present
MM,MARM,LAENG,Length,description_alias_match,opportunity.probability,false,already_present
MM,MARM,VOLUM,Volume,direct_alias_match,shipment.volume,false,already_present
MM,MARM,VOLEH,Volume Unit,direct_alias_match,volume.unit_code,false,already_present
MM,MARM,BRGEW,Gross Weight,direct_alias_match,material.gross_weight,false,already_present
MM,MARM,GEWEI,Unit of Weight,direct_alias_match,material.weight_unit_code,false,already_present
MM,EBAN,BANFN,Purchase Requisition Number,direct_alias_match,requisition.id,false,already_present
MM,EBAN,BNFPO,Item number of purchase requisition,direct_alias_match,requisition.line_item_number,false,already_present
MM,EBAN,BSART,Purchase Requisition Document Type,direct_alias_match,purchase_order.document_type,false,already_present
MM,EBAN,LOEKZ,Deletion Indicator in Purchasing Document,direct_alias_match,material.deletion_mark,false,already_present
MM,EBAN,EKGRP,Purchasing Group,direct_alias_match,purchasing_group.id,false,already_present
MM,EBAN,ERNAM,Name of Person Responsible for Creating the Object,direct_alias_match,audit.created_by,false,already_present
MM,EBAN,ERDAT,Last Changed On,direct_alias_match,document.created_date,false,already_present
MM,EBAN,AFNAM,Name of requisitioner/requester,direct_alias_match,requisition.requester_id,false,already_present
MM,EBAN,MATNR,Material Number,direct_alias_match,material.erp_material_number,false,already_present
MM,EBAN,EMATN,Material number corresponding to manufacturer part number,direct_alias_match,material.number,false,already_present
MM,EBAN,WERKS,Plant,direct_alias_match,plant.id,false,already_present
MM,EBAN,LGORT,Storage Location,direct_alias_match,storage_location.id,false,already_present
MM,EBAN,MATKL,Material Group,direct_alias_match,material.raw_material_group_id,false,already_present
MM,EBAN,MENGE,Purchase requisition quantity,direct_alias_match,bom.quantity,false,already_present
MM,EBAN,MEINS,Purchase requisition unit of measure,direct_alias_match,material.base_uom_code,false,already_present
MM,EBAN,PEINH,Price unit,direct_alias_match,price.unit,false,already_present
MM,EBAN,LIFNR,Desired Vendor,direct_alias_match,supplier.id,false,already_present
MM,EBAN,EKORG,Purchasing Organization,direct_alias_match,purchasing_organization.id,false,already_present
MM,EBAN,KONNR,Number of principal purchase agreement,direct_alias_match,contract.id,false,already_present
MM,EBAN,INFNR,Number of purchasing info record,direct_alias_match,purchasing_info_record.id,true,added
MM,EBAN,SERNR,BOM explosion number,direct_alias_match,asset.serial_number,false,already_present
MM,EBAN,EBELN,Purchase order number,direct_alias_match,purchase_order.id,false,already_present
MM,EBAN,EBELP,Purchase order item number,direct_alias_match,purchase_order.line_item_number,false,already_present
