sap_module,sap_table,sap_field,sap_description,sap_data_element,sap_domain,classification_bucket,knowledge_available,knowledge_tag_level,knowledge_tag_reason,knowledge_tag_note
MM,MARA,LAEDA,Date of Last Change,LAEDA,DATUM,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DATUM; data_element=LAEDA; description=Date of Last Change
MM,MARA,MBRSH,Industry Sector,MBRSH,MBRSH,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MBRSH; data_element=MBRSH; description=Industry Sector
MM,MARA,ZEIFO,Page format of document (without Document Management system),DZEIFO,DINFO,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DINFO; data_element=DZEIFO; description=Page format of document (without Document Management system)
MM,MARA,FERTH,Production/inspection memo,FERTH,FERTH,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=FERTH; data_element=FERTH; description=Production/inspection memo
MM,MARA,FORMT,Page Format of Production Memo,FORMT,DINFO,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DINFO; data_element=FORMT; description=Page Format of Production Memo
MM,MARA,WRKST,Basic Material,WRKST,WRKST,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=WRKST; data_element=WRKST; description=Basic Material
MM,MARA,NORMT,Industry Standard Description (such as ANSI or ISO),NORMT,NORMT,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=NORMT; data_element=NORMT; description=Industry Standard Description (such as ANSI or ISO)
MM,MARA,LABOR,Laboratory/design office,LABOR,LABOR,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=LABOR; data_element=LABOR; description=Laboratory/design office
MM,MARA,BEHVO,Container requirements,BEHVO,BEHVO,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=BEHVO; data_element=BEHVO; description=Container requirements
MM,MARA,TEMPB,Temperature conditions indicator,TEMPB,TEMPB,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=TEMPB; data_element=TEMPB; description=Temperature conditions indicator
MM,MARA,DISST,Low-Level Code,DISST,DISST,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DISST; data_element=DISST; description=Low-Level Code
MM,MARA,BWVOR,Procurement rule,BWVOR,BWVOR,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=BWVOR; data_element=BWVOR; description=Procurement rule
MM,MARA,BWSCL,Source of Supply,BWSCL,BQSCL,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=BQSCL; data_element=BWSCL; description=Source of Supply
MM,MARA,SAISO,Season Category,SAISO,SAISO,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=SAISO; data_element=SAISO; description=Season Category
MM,MARA,ETIAR,Label type,ETIAR,ETIAR,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=ETIAR; data_element=ETIAR; description=Label type
MM,MARA,ETIFO,Label form,ETIFO,ETIFO,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=ETIFO; data_element=ETIFO; description=Label form
MM,MARA,ENTAR,Deactivated,DUMMYENTAR,CHAR1,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CHAR1; data_element=DUMMYENTAR; description=Deactivated
MM,MARA,MEABM,Unit of Dimension for Length/Width/Height,MEABM,MEINS,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MEINS; data_element=MEABM; description=Unit of Dimension for Length/Width/Height
MM,MARA,CADKZ,CAD Indicator,CADKZ,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=CADKZ; description=CAD Indicator
MM,MARA,ERGEW,Allowed packaging weight,ERGEW,MENG13,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MENG13; data_element=ERGEW; description=Allowed packaging weight
MM,MARA,ERVOL,Allowed packaging volume,ERVOL,MENG13,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=MENG13; data_element=ERVOL; description=Allowed packaging volume
MM,MARA,FUELG,Maximum level (by volume),FUELG,DEC3,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DEC3; data_element=FUELG; description=Maximum level (by volume)
MM,MARA,STFAK,Stacking factor,STFAK,INT2,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=INT2; data_element=STFAK; description=Stacking factor
MM,MARA,LIQDT,Deletion date,LIQDT,DATUM,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=DATUM; data_element=LIQDT; description=Deletion date
MM,MARA,SAISJ,Season Year,SAISJ,CJAHR,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=CJAHR; data_element=SAISJ; description=Season Year
MM,MARA,MLGUT,Empties Bill of Material,W_MITLEERG,FLAG,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=FLAG; data_element=W_MITLEERG; description=Empties Bill of Material
MM,MARA,ATTYP,Material Category,ATTYP,ATTYP,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=ATTYP; data_element=ATTYP; description=Material Category
MM,MARA,KZKUP,Co-Product,KZKUPMAT,FLAG,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=FLAG; data_element=KZKUPMAT; description=Co-Product
MM,MARA,KZNFM,Indicator: The material has a follow-up material,KZNFM,XFELD,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=XFELD; data_element=KZNFM; description=Indicator: The material has a follow-up material
MM,MARA,TAKLV,Tax classification of the material,TAKLV,TAXKM,unmapped,true,high,description_domain_data_element,source=sap_remaining_unmapped; module=MM; domain=TAXKM; data_element=TAKLV; description=Tax classification of the material
