action_type,rule_name,selection_rank,description_frequency,sap_module,sap_table,sap_field,sap_description,source_bucket,canonical_concept_id,alias_added,concept_created,context_added
new_canonical_concept,top_unmapped_description,1,5,SD,KNA1,NAME3,Name 3,unmapped,sap_term.name_3,true,true,true
new_canonical_concept,top_unmapped_description,1,5,SD,KNA1,PSON3,Name 3,unmapped,sap_term.name_3,true,true,true
new_canonical_concept,top_unmapped_description,1,5,FI,LFA1,NAME3,Name 3,unmapped,sap_term.name_3,true,true,true
new_canonical_concept,top_unmapped_description,1,5,FI,LFA1,PSON3,Name 3,unmapped,sap_term.name_3,true,true,true
new_canonical_concept,top_unmapped_description,1,5,CO,CEPC,NAME3,Name 3,unmapped,sap_term.name_3,true,true,true
new_canonical_concept,top_unmapped_description,2,5,SD,KNA1,PAYTRSN,Payment Reason,unmapped,sap_term.payment_reason,true,true,true
new_canonical_concept,top_unmapped_description,2,5,SD,KNB1,PAYTRSN,Payment Reason,unmapped,sap_term.payment_reason,true,true,true
new_canonical_concept,top_unmapped_description,2,5,FI,LFA1,PAYTRSN,Payment Reason,unmapped,sap_term.payment_reason,true,true,true
new_canonical_concept,top_unmapped_description,2,5,FI,LFB1,PAYTRSN,Payment Reason,unmapped,sap_term.payment_reason,true,true,true
new_canonical_concept,top_unmapped_description,2,5,FI,BSEG,PAYT_RSN,Payment Reason,unmapped,sap_term.payment_reason,true,true,true
new_canonical_concept,top_unmapped_description,3,5,HR,T512W,D1PRO,Percentage for average bases,unmapped,sap_term.percentage_for_average_bases,true,true,true
new_canonical_concept,top_unmapped_description,3,5,HR,T512W,D2PRO,Percentage for average bases,unmapped,sap_term.percentage_for_average_bases,true,true,true
new_canonical_concept,top_unmapped_description,3,5,HR,T512W,D3PRO,Percentage for average bases,unmapped,sap_term.percentage_for_average_bases,true,true,true
new_canonical_concept,top_unmapped_description,3,5,HR,T512W,D4PRO,Percentage for average bases,unmapped,sap_term.percentage_for_average_bases,true,true,true
new_canonical_concept,top_unmapped_description,3,5,HR,T512W,D5PRO,Percentage for average bases,unmapped,sap_term.percentage_for_average_bases,true,true,true
new_canonical_concept,top_unmapped_description,4,5,MM,MARC,SCM_RRP_SEL_GROUP,Planning Group,unmapped,sap_term.planning_group,true,true,true
new_canonical_concept,top_unmapped_description,4,5,SD,KNB1,FDGRV,Planning Group,unmapped,sap_term.planning_group,true,true,true
new_canonical_concept,top_unmapped_description,4,5,FI,LFB1,FDGRV,Planning Group,unmapped,sap_term.planning_group,true,true,true
new_canonical_concept,top_unmapped_description,4,5,FI,BSEG,FDGRP,Planning Group,unmapped,sap_term.planning_group,true,true,true
new_canonical_concept,top_unmapped_description,4,5,FI,SKB1,FDGRV,Planning Group,unmapped,sap_term.planning_group,true,true,true
new_canonical_concept,top_unmapped_description,5,5,SD,VBAP,VKBUR_ANA,Sales Office,unmapped,sap_term.sales_office,true,true,true
new_canonical_concept,top_unmapped_description,5,5,S/4HANA,ACDOCP,KMVKBU_PA,Sales Office,unmapped,sap_term.sales_office,true,true,true
new_canonical_concept,top_unmapped_description,5,5,S/4HANA,ACDOCP,VKBUR_PA,Sales Office,unmapped,sap_term.sales_office,true,true,true
new_canonical_concept,top_unmapped_description,5,5,S/4HANA,ACDOCA,KMVKBU_PA,Sales Office,unmapped,sap_term.sales_office,true,true,true
new_canonical_concept,top_unmapped_description,5,5,S/4HANA,ACDOCA,VKBUR_PA,Sales Office,unmapped,sap_term.sales_office,true,true,true
new_canonical_concept,top_unmapped_description,6,5,,VEKP,SEALN1,Sealing Number,unmapped,sap_term.sealing_number,true,true,true
new_canonical_concept,top_unmapped_description,6,5,,VEKP,SEALN2,Sealing Number,unmapped,sap_term.sealing_number,true,true,true
new_canonical_concept,top_unmapped_description,6,5,,VEKP,SEALN3,Sealing Number,unmapped,sap_term.sealing_number,true,true,true
new_canonical_concept,top_unmapped_description,6,5,,VEKP,SEALN4,Sealing Number,unmapped,sap_term.sealing_number,true,true,true
new_canonical_concept,top_unmapped_description,6,5,,VEKP,SEALN5,Sealing Number,unmapped,sap_term.sealing_number,true,true,true
new_canonical_concept,top_unmapped_description,7,5,SD,KNA1,MCOD2,Search Term for Matchcode Search,unmapped,sap_term.search_term_for_matchcode_search,true,true,true
new_canonical_concept,top_unmapped_description,7,5,SD,KNA1,MCOD3,Search term for matchcode search,unmapped,sap_term.search_term_for_matchcode_search,true,true,true
new_canonical_concept,top_unmapped_description,7,5,FI,LFA1,MCOD2,Search term for matchcode search,unmapped,sap_term.search_term_for_matchcode_search,true,true,true
new_canonical_concept,top_unmapped_description,7,5,FI,LFA1,MCOD3,Search term for matchcode search,unmapped,sap_term.search_term_for_matchcode_search,true,true,true
new_canonical_concept,top_unmapped_description,7,5,FI,ANLA,MCOA1,Search Term for Matchcode Search,unmapped,sap_term.search_term_for_matchcode_search,true,true,true
new_canonical_concept,top_unmapped_description,8,5,MM,EKPO,INSMK,Stock Type,unmapped,sap_term.stock_type,true,true,true
new_canonical_concept,top_unmapped_description,8,5,MM,MSEG,INSMK,Stock Type,unmapped,sap_term.stock_type,true,true,true
new_canonical_concept,top_unmapped_description,8,5,SD,LIPS,INSMK,Stock Type,unmapped,sap_term.stock_type,true,true,true
new_canonical_concept,top_unmapped_description,8,5,S/4HANA,MATDOC,INSMK,Stock Type,unmapped,sap_term.stock_type,true,true,true
new_canonical_concept,top_unmapped_description,8,5,PP,AFPO,INSMK,Stock Type,unmapped,sap_term.stock_type,true,true,true
new_canonical_concept,top_unmapped_description,9,5,SD,VBKD,J_1AFITP,Tax Type,unmapped,sap_term.tax_type,true,true,true
new_canonical_concept,top_unmapped_description,9,5,SD,VBRK,J_1AFITP,Tax Type,unmapped,sap_term.tax_type,true,true,true
new_canonical_concept,top_unmapped_description,9,5,SD,KNA1,FITYP,Tax Type,unmapped,sap_term.tax_type,true,true,true
new_canonical_concept,top_unmapped_description,9,5,FI,LFA1,FITYP,Tax Type,unmapped,sap_term.tax_type,true,true,true
new_canonical_concept,top_unmapped_description,9,5,FI,BSEG,MWART,Tax Type,unmapped,sap_term.tax_type,true,true,true
new_canonical_concept,top_unmapped_description,10,5,MM,MKPF,CPUTM,Time of Entry,unmapped,sap_term.time_of_entry,true,true,true
new_canonical_concept,top_unmapped_description,10,5,MM,MSEG,CPUTM_MKPF,Time of Entry,unmapped,sap_term.time_of_entry,true,true,true
new_canonical_concept,top_unmapped_description,10,5,S/4HANA,MATDOC,CPUTM,Time of Entry,unmapped,sap_term.time_of_entry,true,true,true
new_canonical_concept,top_unmapped_description,10,5,FI,BKPF,CPUTM,Time of Entry,unmapped,sap_term.time_of_entry,true,true,true
new_canonical_concept,top_unmapped_description,10,5,CO,COBK,CPUTM,Time of Entry,unmapped,sap_term.time_of_entry,true,true,true
new_canonical_concept,top_unmapped_description,11,5,MM,MKPF,TCODE2,Transaction Code,unmapped,sap_term.transaction_code,true,true,true
new_canonical_concept,top_unmapped_description,11,5,MM,MSEG,TCODE2_MKPF,Transaction Code,unmapped,sap_term.transaction_code,true,true,true
new_canonical_concept,top_unmapped_description,11,5,SD,LIKP,TCODE,Transaction Code,unmapped,sap_term.transaction_code,true,true,true
new_canonical_concept,top_unmapped_description,11,5,S/4HANA,MATDOC,TCODE2,Transaction Code,unmapped,sap_term.transaction_code,true,true,true
new_canonical_concept,top_unmapped_description,11,5,FI,BKPF,TCODE,Transaction Code,unmapped,sap_term.transaction_code,true,true,true
new_canonical_concept,top_unmapped_description,12,5,MM,MARA,KZWSM,Units of measure usage,unmapped,sap_term.units_of_measure_usage,true,true,true
new_canonical_concept,top_unmapped_description,12,5,MM,MARM,KZWSO,Units of measure usage,unmapped,sap_term.units_of_measure_usage,true,true,true
new_canonical_concept,top_unmapped_description,12,5,MM,EBAN,KZFME,Units of measure usage,unmapped,sap_term.units_of_measure_usage,true,true,true
new_canonical_concept,top_unmapped_description,12,5,MM,EKPO,KZFME,Units of measure usage,unmapped,sap_term.units_of_measure_usage,true,true,true
new_canonical_concept,top_unmapped_description,12,5,SD,LIPS,KZWSO,Units of measure usage,unmapped,sap_term.units_of_measure_usage,true,true,true
new_canonical_concept,top_unmapped_description,13,5,FI,BSEG,BDIFF,Valuation Difference,unmapped,sap_term.valuation_difference,true,true,true
new_canonical_concept,top_unmapped_description,13,5,FI,BSIS,BDIFF,Valuation Difference,unmapped,sap_term.valuation_difference,true,true,true
new_canonical_concept,top_unmapped_description,13,5,FI,BSID,BDIFF,Valuation Difference,unmapped,sap_term.valuation_difference,true,true,true
new_canonical_concept,top_unmapped_description,13,5,FI,BSIK,BDIFF,Valuation Difference,unmapped,sap_term.valuation_difference,true,true,true
new_canonical_concept,top_unmapped_description,13,5,FI,BSAK,BDIFF,Valuation Difference,unmapped,sap_term.valuation_difference,true,true,true
new_canonical_concept,top_unmapped_description,14,4,SD,VBAK,KNUMA,Agreement (various conditions grouped together),unmapped,sap_term.agreement_various_conditions_grouped_together,true,true,true
new_canonical_concept,top_unmapped_description,14,4,SD,VBRK,KNUMA,Agreement (various conditions grouped together),unmapped,sap_term.agreement_various_conditions_grouped_together,true,true,true
new_canonical_concept,top_unmapped_description,14,4,SD,VBRP,KNUMA_ANA,Agreement (various conditions grouped together),unmapped,sap_term.agreement_various_conditions_grouped_together,true,true,true
new_canonical_concept,top_unmapped_description,14,4,,KONA,KNUMA,Agreement (various conditions grouped together),unmapped,sap_term.agreement_various_conditions_grouped_together,true,true,true
new_canonical_concept,top_unmapped_description,15,4,SD,VBAK,ZABDATH,Annexing base date,unmapped,sap_term.annexing_base_date,true,true,true
new_canonical_concept,top_unmapped_description,15,4,SD,VBAP,ZABDATI,Annexing base date,unmapped,sap_term.annexing_base_date,true,true,true
new_canonical_concept,top_unmapped_description,15,4,SD,VBRK,ZABDATH,Annexing base date,unmapped,sap_term.annexing_base_date,true,true,true
new_canonical_concept,top_unmapped_description,15,4,SD,VBRP,ZABDATI,Annexing base date,unmapped,sap_term.annexing_base_date,true,true,true
new_canonical_concept,top_unmapped_description,16,4,SD,VBAP,KUNRE_ANA,Bill-to Party,unmapped,sap_term.bill_to_party,true,true,true
new_canonical_concept,top_unmapped_description,16,4,SD,VBRP,KUNRE_ANA,Bill-to Party,unmapped,sap_term.bill_to_party,true,true,true
new_canonical_concept,top_unmapped_description,16,4,S/4HANA,ACDOCP,KUNRE,Bill-to Party,unmapped,sap_term.bill_to_party,true,true,true
new_canonical_concept,top_unmapped_description,16,4,S/4HANA,ACDOCA,KUNRE,Bill-to Party,unmapped,sap_term.bill_to_party,true,true,true
new_canonical_concept,top_unmapped_description,17,4,MM,MARC,STLAN,BOM Usage,unmapped,sap_term.bom_usage,true,true,true
new_canonical_concept,top_unmapped_description,17,4,PP,MAST,STLAN,BOM Usage,unmapped,sap_term.bom_usage,true,true,true
new_canonical_concept,top_unmapped_description,17,4,PP,AFKO,STLAN,BOM Usage,unmapped,sap_term.bom_usage,true,true,true
new_canonical_concept,top_unmapped_description,17,4,PP,PLAF,STLAN,BOM Usage,unmapped,sap_term.bom_usage,true,true,true
new_canonical_concept,top_unmapped_description,18,4,FI,BSEG,ZBD1T,Cash discount days 1,unmapped,sap_term.cash_discount_days_1,true,true,true
new_canonical_concept,top_unmapped_description,18,4,FI,BSID,ZBD1T,Cash discount days 1,unmapped,sap_term.cash_discount_days_1,true,true,true
new_canonical_concept,top_unmapped_description,18,4,FI,BSIK,ZBD1T,Cash discount days 1,unmapped,sap_term.cash_discount_days_1,true,true,true
new_canonical_concept,top_unmapped_description,18,4,FI,BSAK,ZBD1T,Cash discount days 1,unmapped,sap_term.cash_discount_days_1,true,true,true
new_canonical_concept,top_unmapped_description,19,4,FI,BSEG,ZBD2T,Cash discount days 2,unmapped,sap_term.cash_discount_days_2,true,true,true
new_canonical_concept,top_unmapped_description,19,4,FI,BSID,ZBD2T,Cash discount days 2,unmapped,sap_term.cash_discount_days_2,true,true,true
new_canonical_concept,top_unmapped_description,19,4,FI,BSIK,ZBD2T,Cash discount days 2,unmapped,sap_term.cash_discount_days_2,true,true,true
new_canonical_concept,top_unmapped_description,19,4,FI,BSAK,ZBD2T,Cash discount days 2,unmapped,sap_term.cash_discount_days_2,true,true,true
new_canonical_concept,top_unmapped_description,20,4,PP,CRHD,AEDAT_GRND,Changed on,unmapped,sap_term.changed_on,true,true,true
