entry_type,canonical_term,alias,domain,source_system,note
field_alias,requisition.line_item_number,EBAN.KBLPOS,MM,SAP,"context_patch=true; system=SAP; object=EBAN; field=KBLPOS; object_description=Purchase Requisition PR header & item combined, one row per PR line. MM Materials Mgmt; field_description=Earmarked Funds: Document Item; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=MM, data_element=KBLPOS, domain=KBLPOS"
field_alias,sales_order.document_date,LIKP.BLDAT,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=BLDAT; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Document Date in Document; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=BLDAT, domain=DATUM"
field_alias,picking.quantity,LIPS.FMENG,SD,SAP,"context_patch=true; system=SAP; object=LIPS; field=FMENG; object_description=SD Delivery — Item Delivery items, picked/delivered qty. SD Sales Distribution; field_description=Quantity is fixed; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=FMENG, domain=XFELD"
field_alias,accounting.document_number,ACDOCP.ZUONR,S/4HANA,SAP,"context_patch=true; system=SAP; object=ACDOCP; field=ZUONR; object_description=Universal Journal — Plan Line Items Plan equivalent of ACDOCA. S4HANA New Tables; field_description=Assignment number; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.80, margin=0.20, module=S/4HANA, data_element=DZUONR, domain=ZUONR"
field_alias,accounting.document_number,ACDOCP.OBJNR,S/4HANA,SAP,"context_patch=true; system=SAP; object=ACDOCP; field=OBJNR; object_description=Universal Journal — Plan Line Items Plan equivalent of ACDOCA. S4HANA New Tables; field_description=Object number; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.80, margin=0.20, module=S/4HANA, data_element=J_OBJNR, domain=J_OBJNR"
field_alias,requisition.line_item_number,ACDOCP.RGRANT_NBR,S/4HANA,SAP,"context_patch=true; system=SAP; object=ACDOCP; field=RGRANT_NBR; object_description=Universal Journal — Plan Line Items Plan equivalent of ACDOCA. S4HANA New Tables; field_description=Grant; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=S/4HANA, data_element=GM_GRANT_NBR, domain=GM_GRANT_NBR"
field_alias,accounting.document_number,ACDOCA.ZUONR,S/4HANA,SAP,"context_patch=true; system=SAP; object=ACDOCA; field=ZUONR; object_description=Universal Journal — Line Items Single source of truth for FI + CO + AA + ML. Replaces BSEG/COEP/FAGLFLEXA/etc. S4HANA New Tables; field_description=Assignment number; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.80, margin=0.20, module=S/4HANA, data_element=DZUONR, domain=ZUONR"
field_alias,accounting.document_number,ACDOCA.OBJNR,S/4HANA,SAP,"context_patch=true; system=SAP; object=ACDOCA; field=OBJNR; object_description=Universal Journal — Line Items Single source of truth for FI + CO + AA + ML. Replaces BSEG/COEP/FAGLFLEXA/etc. S4HANA New Tables; field_description=Object number; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.80, margin=0.20, module=S/4HANA, data_element=J_OBJNR, domain=J_OBJNR"
field_alias,accounting.document_number,ACDOCA.PAOBJNR,S/4HANA,SAP,"context_patch=true; system=SAP; object=ACDOCA; field=PAOBJNR; object_description=Universal Journal — Line Items Single source of truth for FI + CO + AA + ML. Replaces BSEG/COEP/FAGLFLEXA/etc. S4HANA New Tables; field_description=Profitability Segment Number (CO-PA); note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.80, margin=0.20, module=S/4HANA, data_element=RKEOBJNR, domain=RKEOBJNR"
field_alias,requisition.line_item_number,ACDOCA.RGRANT_NBR,S/4HANA,SAP,"context_patch=true; system=SAP; object=ACDOCA; field=RGRANT_NBR; object_description=Universal Journal — Line Items Single source of truth for FI + CO + AA + ML. Replaces BSEG/COEP/FAGLFLEXA/etc. S4HANA New Tables; field_description=Grant; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=S/4HANA, data_element=GM_GRANT_NBR, domain=GM_GRANT_NBR"
