sap_module,sap_table,sap_field,sap_description,sap_data_element,sap_domain,sap_table_description,classification_bucket,top_canonical_concept_id,top_canonical_strength,second_canonical_concept_id,second_canonical_strength,strength_margin,confidence_tier,top_canonical_matches,candidate_reason
S/4HANA,PRCD_ELEMENTS,KNUMV,Number of the Document Condition,KNUMV,KNUMV,,weak_canonical_candidate,account.owner_employee_id,0.60,account.industry,0.50,0.10,medium,account.owner_employee_id:0.60 | account.industry:0.50 | accounting.document_number:0.50,context_enriched_unmapped_auto_candidate
S/4HANA,PRCD_ELEMENTS,KAWRT,Condition Basis,VFPRC_ELEMENT_BASE_VALUE,VFPRC_DEC_VALUE,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
S/4HANA,PRCD_ELEMENTS,KAWRT_K,Condition Basis,VFPRC_ELEMENT_BASE_VALUE,VFPRC_DEC_VALUE,,weak_canonical_candidate,invoice.amount,0.60,,,0.60,medium,invoice.amount:0.60,context_enriched_unmapped_auto_candidate
S/4HANA,BUT000,BPKIND,Business Partner Type,BU_BPKIND,BU_KIND,Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables,weak_canonical_candidate,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
S/4HANA,BUT000,BPEXT,Business Partner Number in External System,BU_BPEXT,CHAR20,Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables,weak_canonical_candidate,business_partner.id,0.60,,,0.60,medium,business_partner.id:0.60,context_enriched_unmapped_auto_candidate
S/4HANA,BUT000,LOCATION_3,Check digit for the international location number,BUBKZ,NUM01,Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables,unmapped,business_partner.id,0.60,,,0.60,medium,business_partner.id:0.60,context_enriched_unmapped_auto_candidate
S/4HANA,BUT000,INITIALS,"""Middle Initial"" or personal initials",AD_INITS,CHAR10,Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables,weak_canonical_candidate,account.owner_employee_id,0.60,account.industry,0.50,0.10,medium,account.owner_employee_id:0.60 | account.industry:0.50 | accounting.document_number:0.50,context_enriched_unmapped_auto_candidate
S/4HANA,BUT000,LANGU_CORR,Business Partner: Correspondence Language,BU_LANGU_CORR,SPRAS,Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables,weak_canonical_candidate,customer.language_code,0.60,,,0.60,medium,customer.language_code:0.60,context_enriched_unmapped_auto_candidate
S/4HANA,BUT000,MARST,Marital Status of Business Partner,BU_MARST,BU_MARST,Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables,weak_canonical_candidate,employee.marital_status,0.60,,,0.60,medium,employee.marital_status:0.60,context_enriched_unmapped_auto_candidate
S/4HANA,BUT000,BIRTHDT,Date of Birth of Business Partner,BU_BIRTHDT,DATUM,Business Partner — General Data BP is the leading object in S/4HANA — KNA1/LFA1 are kept in sync via CVI. S4HANA New Tables,weak_canonical_candidate,employee.birth_date,0.60,,,0.60,medium,employee.birth_date:0.60,context_enriched_unmapped_auto_candidate
