sap_module,sap_table,sap_field,sap_description,sap_data_element,sap_domain,sap_table_description,classification_bucket,top_canonical_concept_id,top_canonical_strength,second_canonical_concept_id,second_canonical_strength,strength_margin,confidence_tier,top_canonical_matches,candidate_reason
SD,VBPA,_DATAAGING,Data Filter Value for Data Aging,DATA_TEMPERATURE,DATA_TEMPERATURE,"Sales Document — Partners Partners on a doc (sold-to AG, ship-to WE, payer RG, bill-to RE). SD Sales Distribution",weak_canonical_candidate,invoice.amount,0.60,price.unit,0.50,0.10,medium,invoice.amount:0.60 | price.unit:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,LFART,Delivery Type,LFART,LFART,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,AUTLF,Complete Delivery Defined for Each Sales Order?,AUTLF,XFELD,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,sales_order.id,0.60,,,0.60,medium,sales_order.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,KZAZU,Order Combination Indicator,KZAZU_D,XFELD,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,sales_order.id,0.60,,,0.60,medium,sales_order.id:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,VBTYP,SD Document Category,VBTYPL,VBTYPL,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,document.type,0.60,,,0.60,medium,document.type:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,BTGEW,Total Weight,GSGEW,MENG15,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,invoice.amount,0.60,price.unit,0.50,0.10,medium,invoice.amount:0.60 | price.unit:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,FKARV,Proposed billing type for a delivery-related billing doc.,FKARV,FKART,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,activity id,0.60,absence.start_date,0.50,0.10,medium,activity id:0.60 | absence.start_date:0.50 | absence.type:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,PERFK,Invoice Dates (Calendar Identification),PERFK,WFCID,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,employee.id,0.60,absence.start_date,0.50,0.10,medium,employee.id:0.60 | absence.start_date:0.50 | account.id:0.50,context_enriched_unmapped_auto_candidate
SD,LIKP,WAERK,SD Document Currency,WAERK,WAERS,SD Delivery — Header Delivery doc header. SD Sales Distribution,weak_canonical_candidate,accounting.document_currency_code,0.60,,,0.60,medium,accounting.document_currency_code:0.60,context_enriched_unmapped_auto_candidate
SD,LIKP,COMMN,Communication number for Q-API interface,COMMN,COMMN,SD Delivery — Header Delivery doc header. SD Sales Distribution,unmapped,delivery.id,0.60,,,0.60,medium,delivery.id:0.60,context_enriched_unmapped_auto_candidate
