entry_type,canonical_term,alias,domain,source_system,note
field_alias,invoice.amount,VBPA._DATAAGING,SD,SAP,"context_patch=true; system=SAP; object=VBPA; field=_DATAAGING; object_description=Sales Document — Partners Partners on a doc (sold-to AG, ship-to WE, payer RG, bill-to RE). SD Sales Distribution; field_description=Data Filter Value for Data Aging; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=SD, data_element=DATA_TEMPERATURE, domain=DATA_TEMPERATURE"
field_alias,activity id,LIKP.LFART,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=LFART; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Delivery Type; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=SD, data_element=LFART, domain=LFART"
field_alias,sales_order.id,LIKP.AUTLF,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=AUTLF; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Complete Delivery Defined for Each Sales Order?; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=AUTLF, domain=XFELD"
field_alias,sales_order.id,LIKP.KZAZU,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=KZAZU; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Order Combination Indicator; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=KZAZU_D, domain=XFELD"
field_alias,document.type,LIKP.VBTYP,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=VBTYP; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=SD Document Category; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=VBTYPL, domain=VBTYPL"
field_alias,invoice.amount,LIKP.BTGEW,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=BTGEW; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Total Weight; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=SD, data_element=GSGEW, domain=MENG15"
field_alias,activity id,LIKP.FKARV,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=FKARV; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Proposed billing type for a delivery-related billing doc.; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=SD, data_element=FKARV, domain=FKART"
field_alias,employee.id,LIKP.PERFK,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=PERFK; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Invoice Dates (Calendar Identification); note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=SD, data_element=PERFK, domain=WFCID"
field_alias,accounting.document_currency_code,LIKP.WAERK,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=WAERK; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=SD Document Currency; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=WAERK, domain=WAERS"
field_alias,delivery.id,LIKP.COMMN,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=COMMN; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Communication number for Q-API interface; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=COMMN, domain=COMMN"
field_alias,exchange_rate.rate,LIKP.STCUR,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=STCUR; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Exchange rate for statistics; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=STCUR, domain=KURRF"
field_alias,delivery.id,LIKP.EXNUM,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=EXNUM; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Number of foreign trade data in MM and SD documents; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=EXNUM, domain=EXNUM"
field_alias,sales_organization.id,LIKP.VKOIV,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=VKOIV; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Sales Organization for Intercompany Billing; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=VKOIV, domain=VKORG"
field_alias,distribution_channel.id,LIKP.VTWIV,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=VTWIV; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Distribution channel for intercompany billing; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=VTWIV, domain=VTWEG"
field_alias,division.id,LIKP.SPAIV,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=SPAIV; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Division for intercompany billing; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=SPAIV, domain=SPART"
field_alias,activity id,LIKP.FKAIV,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=FKAIV; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Billing type for intercompany billing; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=SD, data_element=FKAIV, domain=FKART"
field_alias,invoice.amount,LIKP.AMTBL,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=AMTBL; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Released Credit Value of the Document; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=SD, data_element=AMTBL_CM, domain=WERTV8"
field_alias,activity id,LIKP.TRATY,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=TRATY; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Means-of-Transport Type; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=SD, data_element=TRATY, domain=TRATY"
field_alias,sales_order.document_date,LIKP.BLDAT,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=BLDAT; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Document Date in Document; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=BLDAT, domain=DATUM"
field_alias,reason.code,LIKP.TRSPG,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=TRSPG; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Shipment Blocking Reason; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=TRSPG, domain=TRSPG"
field_alias,employee.id,LIKP.LIFEX,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=LIFEX; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=External Identification of Delivery Note; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=SD, data_element=LIFEX, domain=TEXT35"
field_alias,delivery.id,LIKP.LCNUM,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=LCNUM; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Financial doc. processing: Internal financial doc. number; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=LCNUM, domain=LCNUM"
field_alias,shipping_point.id,LIKP.TDUHR,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=TDUHR; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Transp. Planning Time (Local, Relating to a Shipping Point); note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=TDUHR, domain=TIME_SHIPP"
field_alias,shipping_point.id,LIKP.LDUHR,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=LDUHR; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Loading Time (Local Time Relating to a Shipping Point); note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=LDUHR, domain=TIME_SHIPP"
field_alias,delivery.id,LIKP.LGTOR,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=LGTOR; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Door for Warehouse Number; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=LGTOR, domain=LGTOR"
field_alias,exchange_rate.rate,LIKP.AKKUR,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=AKKUR; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Exchange rate for letter-of-credit procg in foreign trade; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=AKKUR, domain=KURRF"
field_alias,activity id,LIKP.FOLAR,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=FOLAR; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Delivery Type; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=SD, data_element=LFART, domain=LFART"
field_alias,delivery.id,LIKP.VGANZ,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=VGANZ; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Number of Delivery Items with Precedessor in Other System; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=SHP_VGANZ, domain="
field_alias,delivery.status,LIKP.IMWRK,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=IMWRK; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Delivery has Status 'In Plant'; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=IMWRK, domain=XFELD"
field_alias,delivery.status,LIKP.SPE_REV_VLSTK,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=SPE_REV_VLSTK; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Distribution Status (Decentralized Warehouse Processing); note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=VLSTK, domain=VLSTK"
field_alias,activity id,LIKP.SPE_ORIG_SYS,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=SPE_ORIG_SYS; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Original System Type; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=SD, data_element=/SPE/INB_ORIGIN_SYS, domain=/SPE/SYSTYPE_SHORT"
field_alias,activity id,LIKP.SPE_CHNG_SYS,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=SPE_CHNG_SYS; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Last Changer's System Type; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=SD, data_element=/SPE/INB_CHNG_SYS, domain=/SPE/SYSTYPE_SHORT"
field_alias,activity id,LIKP.SPE_GTS_REL,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=SPE_GTS_REL; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Goods Traffic Type; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.10, module=SD, data_element=/SPE/DE_LEG_GTS_CODE, domain=CHAR2"
field_alias,route.id,LIKP.SPE_GTS_RT_CDE,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=SPE_GTS_RT_CDE; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Route Code for SAP Global Trade Services; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=/SPE/DE_ROUTE_GTS_CODE, domain=CHAR10"
field_alias,uom.code,LIKP.SPE_UNIT_SYSTEM,SD,SAP,"context_patch=true; system=SAP; object=LIKP; field=SPE_UNIT_SYSTEM; object_description=SD Delivery — Header Delivery doc header. SD Sales Distribution; field_description=Measurement Unit System; note=source=sap_unmapped_auto_enrichment, confidence=medium, top_strength=0.60, margin=0.60, module=SD, data_element=/SPE/DE_UNIT_SYSTEM, domain=CHAR10"
