entry_type,canonical_term,alias,domain,source_system,note
field_alias,Date of Last Change,MM_MARA_LAEDA,DATUM,SAP,Auto-linked via description
field_alias,Maintenance status,MM_MARA_PSTAT,PSTAT,SAP,Auto-linked via description
field_alias,Industry Sector,MM_MARA_MBRSH,MBRSH,SAP,Auto-linked via description
field_alias,Page format of document (without Document Management system),MM_MARA_ZEIFO,DINFO,SAP,Auto-linked via description
field_alias,Production/inspection memo,MM_MARA_FERTH,FERTH,SAP,Auto-linked via description
field_alias,Page Format of Production Memo,MM_MARA_FORMT,DINFO,SAP,Auto-linked via description
field_alias,Basic Material,MM_MARA_WRKST,WRKST,SAP,Auto-linked via description
field_alias,Industry Standard Description (such as ANSI or ISO),MM_MARA_NORMT,NORMT,SAP,Auto-linked via description
field_alias,Laboratory/design office,MM_MARA_LABOR,LABOR,SAP,Auto-linked via description
field_alias,Container requirements,MM_MARA_BEHVO,BEHVO,SAP,Auto-linked via description
field_alias,Temperature conditions indicator,MM_MARA_TEMPB,TEMPB,SAP,Auto-linked via description
field_alias,Low-Level Code,MM_MARA_DISST,DISST,SAP,Auto-linked via description
field_alias,Procurement rule,MM_MARA_BWVOR,BWVOR,SAP,Auto-linked via description
field_alias,Source of Supply,MM_MARA_BWSCL,BQSCL,SAP,Auto-linked via description
field_alias,Season Category,MM_MARA_SAISO,SAISO,SAP,Auto-linked via description
field_alias,Label type,MM_MARA_ETIAR,ETIAR,SAP,Auto-linked via description
field_alias,Label form,MM_MARA_ETIFO,ETIFO,SAP,Auto-linked via description
field_alias,Deactivated,MM_MARA_ENTAR,CHAR1,SAP,Auto-linked via description
field_alias,Unit of Dimension for Length/Width/Height,MM_MARA_MEABM,MEINS,SAP,Auto-linked via description
field_alias,CAD Indicator,MM_MARA_CADKZ,XFELD,SAP,Auto-linked via description
field_alias,Allowed packaging weight,MM_MARA_ERGEW,MENG13,SAP,Auto-linked via description
field_alias,Allowed packaging volume,MM_MARA_ERVOL,MENG13,SAP,Auto-linked via description
field_alias,Maximum level (by volume),MM_MARA_FUELG,DEC3,SAP,Auto-linked via description
field_alias,Stacking factor,MM_MARA_STFAK,INT2,SAP,Auto-linked via description
field_alias,Authorization Group,MM_MARA_BEGRU,BEGRU,SAP,Auto-linked via description
field_alias,Deletion date,MM_MARA_LIQDT,DATUM,SAP,Auto-linked via description
field_alias,Season Year,MM_MARA_SAISJ,CJAHR,SAP,Auto-linked via description
field_alias,Empties Bill of Material,MM_MARA_MLGUT,FLAG,SAP,Auto-linked via description
field_alias,Material Category,MM_MARA_ATTYP,ATTYP,SAP,Auto-linked via description
field_alias,Co-Product,MM_MARA_KZKUP,FLAG,SAP,Auto-linked via description
field_alias,Indicator: The material has a follow-up material,MM_MARA_KZNFM,XFELD,SAP,Auto-linked via description
field_alias,Tax classification of the material,MM_MARA_TAKLV,TAXKM,SAP,Auto-linked via description
field_alias,Catalog Profile,MM_MARA_RBNRM,RBNR,SAP,Auto-linked via description
field_alias,Storage percentage,MM_MARA_MHDLP,DEC3,SAP,Auto-linked via description
field_alias,Content unit,MM_MARA_INHME,MEINS,SAP,Auto-linked via description
field_alias,Net contents,MM_MARA_INHAL,MENG13,SAP,Auto-linked via description
field_alias,IS-R Labeling: material grouping (deactivated in 4.0),MM_MARA_ETIAG,ETIAG,SAP,Auto-linked via description
field_alias,Gross contents,MM_MARA_INHBR,MENG13,SAP,Auto-linked via description
field_alias,Quantity Conversion Method,MM_MARA_CMETH,OIB_CMETH,SAP,Auto-linked via description
field_alias,Internal object number,MM_MARA_CUOBF,CUOBJ,SAP,Auto-linked via description
field_alias,Product allocation determination procedure,MM_MARA_KOSCH,KOSCH,SAP,Auto-linked via description
field_alias,Pricing profile for variants,MM_MARA_SPROF,SPROF,SAP,Auto-linked via description
field_alias,Material qualifies for discount in kind,MM_MARA_NRFHG,NRFHG,SAP,Auto-linked via description
field_alias,Units of measure usage,MM_MARA_KZWSM,KZWSO,SAP,Auto-linked via description
field_alias,Rollout in a Season,MM_MARA_SAITY,SAITY,SAP,Auto-linked via description
field_alias,Indicator: Highly Viscous,MM_MARA_IHIVI,X,SAP,Auto-linked via description
field_alias,Indicator: In Bulk/Liquid,MM_MARA_ILOOS,X,SAP,Auto-linked via description
field_alias,Packaging Material is Closed Packaging,MM_MARA_KZGVH,XFELD,SAP,Auto-linked via description
field_alias,Approved Batch Record Required,MM_MARA_XGCHP,XFELD,SAP,Auto-linked via description
field_alias,Assign effectivity parameter values/ override change numbers,MM_MARA_KZEFF,XFELD,SAP,Auto-linked via description
field_alias,Material completion level,MM_MARA_COMPL,CSCP_COMP_LVL,SAP,Auto-linked via description
field_alias,Rounding rule for calculation of SLED,MM_MARA_RDMHD,RDMHD,SAP,Auto-linked via description
field_alias,Indicator: Product composition printed on packaging,MM_MARA_PRZUS,XFELD,SAP,Auto-linked via description
field_alias,Generic Material with Logistical Variants,MM_MARA_BFLME,BFLME,SAP,Auto-linked via description
field_alias,Relevant for Configuration Management,MM_MARA_CMREL,DO_CM_RELEVANCE_FLAG,SAP,Auto-linked via description
field_alias,Assortment List Type,MM_MARA_BBTYP,BBTYP,SAP,Auto-linked via description
field_alias,Indicator: Global Data Synchronization-Relevant,MM_MARA_GDS_RELEVANT,XFELD,SAP,Auto-linked via description
field_alias,Acceptance At Origin,MM_MARA_WEORA,XFELD,SAP,Auto-linked via description
field_alias,Standard HU Type,MM_MARA_HUTYP_DFLT,CHAR4,SAP,Auto-linked via description
field_alias,Pilferable,MM_MARA_PILFERABLE,XFELD,SAP,Auto-linked via description
field_alias,Warehouse Storage Condition,MM_MARA_WHSTC,CHAR2,SAP,Auto-linked via description
field_alias,Handling Indicator,MM_MARA_HNDLCODE,CHAR4,SAP,Auto-linked via description
field_alias,Variable Tare Weight,MM_MARA_TARE_VAR,XFELD,SAP,Auto-linked via description
field_alias,Maximum Allowed Capacity of Packaging Material,MM_MARA_MAXC,DECV15_3,SAP,Auto-linked via description
field_alias,Maximum Packing Length of Packaging Material,MM_MARA_MAXL,CIFQUAN15,SAP,Auto-linked via description
field_alias,Maximum Packing Width of Packaging Material,MM_MARA_MAXB,CIFQUAN15,SAP,Auto-linked via description
field_alias,Maximum Packing Height of Packaging Material,MM_MARA_MAXH,CIFQUAN15,SAP,Auto-linked via description
field_alias,Quarantine Period,MM_MARA_QQTIME,data,SAP,Auto-linked via description
field_alias,Time Unit for Quarantine Period,MM_MARA_QQTIMEUOM,MEINS,SAP,Auto-linked via description
field_alias,Quality Inspection Group,MM_MARA_QGRP,CIFQGRP,SAP,Auto-linked via description
field_alias,Form Name,MM_MARA_PS_SMARTFORM,TDSFNAME,SAP,Auto-linked via description
field_alias,EWM CW: Catch Weight Profile for Entering CW Quantity,MM_MARA_CWQPROC,CIFCWQPROC,SAP,Auto-linked via description
field_alias,Catch Weight Tolerance Group,MM_MARA_CWQTOLGR,CIFCWQTOLGR,SAP,Auto-linked via description
field_alias,Adjustment Profile,MM_MARA_ADPROF,/SCWM/DO_MEDI_APROF,SAP,Auto-linked via description
field_alias,Commodity,MM_MARA_COMMODITY,TBA_STOEFFCHEN,SAP,Auto-linked via description
field_alias,Indicator: Contains Non-Textile Parts of Animal Origin,MM_MARA_ANIMAL_ORIGIN,WRF_ANIMAL_ORIGIN_FLAG,SAP,Auto-linked via description
field_alias,Indicator: New Textile Composition Function,MM_MARA_TEXTILE_COMP_IND,WRF_TEXTL_COMP_IND,SAP,Auto-linked via description
field_alias,Chemical Compliance Relevance Indicator,MM_MARA_CHML_CMPLNC_RLVNCE_IND,CHML_CMPLNC_RLVNCE_IND,SAP,Auto-linked via description
field_alias,Category of a Logistical Material,MM_MARA_LOGISTICAL_MAT_CATEGORY,DO_LOGISTICAL_MAT_CATEGORY,SAP,Auto-linked via description
field_alias,Identification Tag Type,MM_MARA_IDENTIFICATION_TAG_TYPE,IDENTIFICATIONTAGTYPE,SAP,Auto-linked via description
field_alias,Data element for OID of product,MM_MARA_PRODUCTOID,PRODUCT_OID,SAP,Auto-linked via description
field_alias,Segmentation Structure,MM_MARA_SGT_CSGR,SGT_CSGR,SAP,Auto-linked via description
field_alias,Segmentation Strategy,MM_MARA_SGT_COVSA,SGT_COVS,SAP,Auto-linked via description
field_alias,Segmentation Strategy Scope,MM_MARA_SGT_SCOPE,SGT_SCOPE,SAP,Auto-linked via description
field_alias,Segmentation Relevant,MM_MARA_SGT_REL,CHAR1,SAP,Auto-linked via description
field_alias,ANP Code,MM_MARA_ANP,J_1BANP,SAP,Auto-linked via description
field_alias,Code of Protected Species Management,MM_MARA_PSM_CODE,WRF_PSM_CODE,SAP,Auto-linked via description
field_alias,Fashion Information Field: 1,MM_MARA_FSH_MG_AT1,FSH_MG_ATTRIBUTE1,SAP,Auto-linked via description
field_alias,Fashion Information Field: 2,MM_MARA_FSH_MG_AT2,FSH_MG_ATTRIBUTE2,SAP,Auto-linked via description
field_alias,Fashion Information Field: 3,MM_MARA_FSH_MG_AT3,FSH_MG_ATTRIBUTE3,SAP,Auto-linked via description
field_alias,Dummy Field,MM_MARA_DUMMY_PRD_INCL_EEW_PS,PRD_INCL_EEW,SAP,Auto-linked via description
field_alias,Maturation Time,MM_MARA_SCM_MATURITY_DUR,TSTRDURAG,SAP,Auto-linked via description
field_alias,Preferred Alternative UoM for Warehouse Operations,MM_MARA_SCM_PUOM,MEINS,SAP,Auto-linked via description
field_alias,Product Shape,MM_MARA_PROD_SHAPE,/SAPAPO/PROD_SHAPE,SAP,Auto-linked via description
field_alias,Overhang Threshold [%],MM_MARA_OVERHANG_TRESH,DEC03_2,SAP,Auto-linked via description
field_alias,Bridge Threshold [%],MM_MARA_BRIDGE_TRESH,DEC03_2,SAP,Auto-linked via description
field_alias,Maximum Slope for Bridges [°],MM_MARA_BRIDGE_MAX_SLOPE,DEC03_2,SAP,Auto-linked via description
field_alias,Absolute Height Threshold for Stacking on Non-Flat Surface,MM_MARA_HEIGHT_NONFLAT,MENG13,SAP,Auto-linked via description
field_alias,UoM of Abs. Height Threshold (Stacking on Non-Flat Surface),MM_MARA_HEIGHT_NONFLAT_UOM,MEINS,SAP,Auto-linked via description
field_alias,Product for Kit-to-Order,MM_MARA_SCM_KITCOMP,XFELD,SAP,Auto-linked via description
field_alias,Product can be used for Procure-to-Order,MM_MARA_SCM_PROD_PAOOPT,XFELD,SAP,Auto-linked via description
field_alias,Carry Out Push Deployment from Supplier,MM_MARA_SCM_BOD_DEPLVL,XFELD,SAP,Auto-linked via description
field_alias,Inventory Balancing Not Allowed,MM_MARA_SCM_RESTRICT_INVBAL,XFELD,SAP,Auto-linked via description
field_alias,Exclude from Express Shipment,MM_MARA_SCM_EXCL_EXPEDITE,XFELD,SAP,Auto-linked via description
field_alias,New Product,MM_MARA_NEWPROD_INDI,XFELD,SAP,Auto-linked via description
field_alias,eSPP: Inventory Planning via External Tool,MM_MARA_INV_PLN_MODE,ESPP_INV_PLN_MODE,SAP,Auto-linked via description
field_alias,Configuration Relevance of Product,MM_MARA_FLAGCLASS,/SAPAPO/FLGCLASS,SAP,Auto-linked via description
field_alias,Material Is Activated for CW,MM_MARA_/CWM/XCWMAT,XFELD,SAP,Auto-linked via description
field_alias,Tolerance Group for CWM,MM_MARA_/CWM/TOLGR,/CWM/TOLGR,SAP,Auto-linked via description
field_alias,Loading Units,MM_MARA_/BEV1/LULEINH,/BEV1/LULEINH,SAP,Auto-linked via description
field_alias,Loading Unit Group: IS Beverage,MM_MARA_/BEV1/LULDEGRP,/BEV1/LULDEGRP,SAP,Auto-linked via description
field_alias,Structure Category for Material Relationship,MM_MARA_/BEV1/NESTRUCCAT,/BEV1/NESTRUC_CAT,SAP,Auto-linked via description
field_alias,Counting Group,MM_MARA_/DSD/SV_CNT_GRP,/DSD/SV_COUNT_GROUP,SAP,Auto-linked via description
field_alias,DSD Grouping,MM_MARA_/DSD/VC_GROUP,/DSD/VC_GROUP,SAP,Auto-linked via description
field_alias,Cable Diameter,MM_MARA_/SAPMP/KADU,/SAPMP/DURCHME,SAP,Auto-linked via description
field_alias,Unit for Dimensions,MM_MARA_/SAPMP/ABMEIN,MEINS,SAP,Auto-linked via description
field_alias,Cable Diameter Allowance in Percent,MM_MARA_/SAPMP/KADP,/SAPMP/PROZENT,SAP,Auto-linked via description
field_alias,Bending Factor,MM_MARA_/SAPMP/BRAD,/SAPMP/BRAD,SAP,Auto-linked via description
field_alias,Inner Width,MM_MARA_/SAPMP/SPBI,/SAPMP/DIMENS,SAP,Auto-linked via description
field_alias,Outer Diameter,MM_MARA_/SAPMP/TRAD,/SAPMP/DURCHME,SAP,Auto-linked via description
field_alias,Core Diameter,MM_MARA_/SAPMP/KEDU,/SAPMP/DURCHME,SAP,Auto-linked via description
field_alias,Load Capacity,MM_MARA_/SAPMP/SPTR,/SAPMP/GEWICHT,SAP,Auto-linked via description
field_alias,Run-Out Flange Thickness,MM_MARA_/SAPMP/FBDK,/SAPMP/DIMENS,SAP,Auto-linked via description
field_alias,R-O Flange Height,MM_MARA_/SAPMP/FBHK,/SAPMP/DIMENS,SAP,Auto-linked via description
field_alias,Coil Delivery,MM_MARA_/SAPMP/RILI,XFELD,SAP,Auto-linked via description
field_alias,Run-Out Flange,MM_MARA_/SAPMP/FBAK,XFELD,SAP,Auto-linked via description
field_alias,Maximum Number of Vertical Layers,MM_MARA_/SAPMP/AHO,NUMC3,SAP,Auto-linked via description
field_alias,Smallest Permissible Reel Clearance for a Cable,MM_MARA_/SAPMP/MIFRR,/SAPMP/DIMENS,SAP,Auto-linked via description
field_alias,Serialization Type,MM_MARA_/STTPEC/SERTYPE,/STTPEC/D_SERTYPE,SAP,Auto-linked via description
field_alias,Synchronization Active,MM_MARA_/STTPEC/SYNCACT,XFELD,SAP,Auto-linked via description
field_alias,Synchronization Time Stamp,MM_MARA_/STTPEC/SYNCTIME,/STTPEC/D_TIMESTAMP_CONV,SAP,Auto-linked via description
field_alias,Indicator Changed Since Integration,MM_MARA_/STTPEC/SYNCCHG,XFELD,SAP,Auto-linked via description
field_alias,Profile Relevant Country/Region,MM_MARA_/STTPEC/COUNTRY_REF,/STTPEC/D_COUNTRY,SAP,Auto-linked via description
field_alias,Material may be Tilted (Vehicle Space Optimization),MM_MARA_/VSO/R_TILT_IND,/VSO/M_XFIELD,SAP,Auto-linked via description
field_alias,Stacking not Allowed (VSO),MM_MARA_/VSO/R_STACK_IND,/VSO/M_XFIELD,SAP,Auto-linked via description
field_alias,Bottom Layer (Vehicle Space Optimization),MM_MARA_/VSO/R_BOT_IND,/VSO/M_XFIELD,SAP,Auto-linked via description
field_alias,Top Layer (VSO),MM_MARA_/VSO/R_TOP_IND,/VSO/M_XFIELD,SAP,Auto-linked via description
field_alias,Load without Packaging Material (VSO),MM_MARA_/VSO/R_PAL_IND,/VSO/M_XFIELD,SAP,Auto-linked via description
field_alias,Permissible Overhang (Depth) of Packaging Material (VSO),MM_MARA_/VSO/R_PAL_OVR_D,MENG13,SAP,Auto-linked via description
field_alias,Permissible Overhang (Width) of Shipping Material (VSO),MM_MARA_/VSO/R_PAL_OVR_W,MENG13,SAP,Auto-linked via description
field_alias,Maximum Stacking Height of the Packaging Material (VSO),MM_MARA_/VSO/R_PAL_B_HT,MENG13,SAP,Auto-linked via description
field_alias,Minimum Stacking Height of the Packaging Material (VSO),MM_MARA_/VSO/R_PAL_MIN_H,MENG13,SAP,Auto-linked via description
field_alias,Tolerance to Exceed the Max. Stacking Height (VSO),MM_MARA_/VSO/R_TOL_B_HT,MENG13,SAP,Auto-linked via description
field_alias,Number of Materials for each Closed PKM (VSO),MM_MARA_/VSO/R_NO_P_GVH,/VSO/M_ANZ_PER_GVH,SAP,Auto-linked via description
field_alias,Closed Packaging Material Required (VSO),MM_MARA_/VSO/R_KZGVH_IND,/VSO/M_XFIELD,SAP,Auto-linked via description
field_alias,Packaging Code,MM_MARA_PACKCODE,CBUND_PACOD,SAP,Auto-linked via description
