entry_type,canonical_term,alias,domain,source_system,note
vendor_context_link,sap_desc_a8c54471,MM_MARA_LAEDA,DATUM,SAP,auto-map via desc: Date of Last Change
vendor_context_link,sap_desc_1ca30d00,MM_MARA_PSTAT,PSTAT,SAP,auto-map via desc: Maintenance status
vendor_context_link,sap_desc_caa3d771,MM_MARA_MBRSH,MBRSH,SAP,auto-map via desc: Industry Sector
vendor_context_link,sap_desc_472a05e1,MM_MARA_ZEIFO,DINFO,SAP,auto-map via desc: Page format of document (without Document Manageme
vendor_context_link,sap_desc_eb9ae062,MM_MARA_FERTH,FERTH,SAP,auto-map via desc: Production/inspection memo
vendor_context_link,sap_desc_99000507,MM_MARA_FORMT,DINFO,SAP,auto-map via desc: Page Format of Production Memo
vendor_context_link,sap_desc_43185679,MM_MARA_WRKST,WRKST,SAP,auto-map via desc: Basic Material
vendor_context_link,sap_desc_713ba46d,MM_MARA_NORMT,NORMT,SAP,auto-map via desc: Industry Standard Description (such as ANSI or ISO
vendor_context_link,sap_desc_9d429086,MM_MARA_LABOR,LABOR,SAP,auto-map via desc: Laboratory/design office
vendor_context_link,sap_desc_24249522,MM_MARA_BEHVO,BEHVO,SAP,auto-map via desc: Container requirements
vendor_context_link,sap_desc_727047dc,MM_MARA_TEMPB,TEMPB,SAP,auto-map via desc: Temperature conditions indicator
vendor_context_link,sap_desc_095c4111,MM_MARA_DISST,DISST,SAP,auto-map via desc: Low-Level Code
vendor_context_link,sap_desc_128f4ecb,MM_MARA_BWVOR,BWVOR,SAP,auto-map via desc: Procurement rule
vendor_context_link,sap_desc_ffa34950,MM_MARA_BWSCL,BQSCL,SAP,auto-map via desc: Source of Supply
vendor_context_link,sap_desc_fd0102d3,MM_MARA_SAISO,SAISO,SAP,auto-map via desc: Season Category
vendor_context_link,sap_desc_1ca83672,MM_MARA_ETIAR,ETIAR,SAP,auto-map via desc: Label type
vendor_context_link,sap_desc_2cfa07c6,MM_MARA_ETIFO,ETIFO,SAP,auto-map via desc: Label form
vendor_context_link,sap_desc_43c7582c,MM_MARA_ENTAR,CHAR1,SAP,auto-map via desc: Deactivated
vendor_context_link,sap_desc_0502c88e,MM_MARA_MEABM,MEINS,SAP,auto-map via desc: Unit of Dimension for Length/Width/Height
