wd_entity,wd_field,wd_type,wd_description
Country_ReferenceType,Country_ISO_Code,string,"ISO Code identifying the country where the naming rules for this name are defined. Workday provides the ability for a customer to specify an ISO Code at the country level. Each customer can also define various rules around names, required fields for names, labels for name fields at the Country level. http://en.wikipedia.org/wiki/ISO_3166-1_alpha-3"
Job_Family_DataType,ID,string,The ID of the Job Family data (Job_Family_ID).
Job_Family_DataType,Effective_Date,date,Effective Date of Job Family.
Job_Family_DataType,Name,string,Text attribute identifying Job Family Name.
Job_Family_DataType,Summary,string,Text attribute identifying Job Family Summary.
Job_Family_DataType,Inactive,boolean,Boolean attribute indicating if a Job Family/Job Family Group is Inactive or not. Inactive Job Families/Groups will not appear in prompts.
Job_Family_DataType,Job_Profile_Data,Job_Profile_for_Job_Family_DataType,Element containing the Job Profile reference for a Job Family.
Job_Family_DataType,Integration_Field_Override_Data,Document_Field_Result_DataType,
Job_Classification_ReferenceType,Job_Classification_Group_Name,string,Unique attribute name/description identifying a valid instance of Job Classification Group.
Job_Classification_ReferenceType,Job_Classification_Name,string,"Along with Job Classification Group Name (which returns and instance of Job Classification Group), unique attribute name/description identifying a valid instance of Job Classification."
Location_DataType,Integration_ID_Data,External_Integration_ID_DataType,"The unique location ID. The organization, position and hire tabs will reference location ID."
Location_DataType,Location_Name,string,The unique location name.
Location_DataType,Time_Profile_Reference_Data,Time_Profile_Reference_DataType,The time profile associated with the location. This ties to the time profile description that has been set up.
Location_DataType,Location_Type_Reference_Data,Location_Type_Reference_DataType,The location type associated with the location that ties to the usage that has been setup.
Location_DataType,Default_Currency_Reference,CurrencyObjectType,"The default currency for the location. This value is either derived from the currency of the location country (using the primary address), or the default currency overridden by the location."
Location_DataType,Trade_Name,,The division or subsidiary name of the establishment.
Location_DataType,Worksite_ID_Code,,A unique alpha/numeric identifier that identifies the business at this physical location.
Location_DataType,Contact_Data,Contact_DataType,Contact Data
Location_DataType,Container_Organization_Reference_Data,Container_Organization_Reference_DataType,Container Organization Reference Data
Location_DataType,Inactive,boolean,Boolean attribute indicates if the Location is inactive.
Location_Type_Reference_DataType,Location_Type_Description,string,Unique attribute name/description identifying a valid instance of Location Type.
Business_Site_FindType,Location_Name,string,"If specified, this search criterium will return those references with an exact match. The search index used to query on this value is not case-sensitive."
Organization_DataType,Organization_Reference_ID,string,"Organization Reference ID. To ensure backward compatibility, the Organization Reference ID element will not be populated on outbound data (i.e. Get Organization web service) for Workday 9 and earlier versions. It will be populated with on outbound data starting with Workday 10."
Organization_DataType,Include_Organization_ID_in_Name,boolean,Boolean attribute identifying whether to include the Organization ID within the name (Display ID within Workday). A new effective-dated organization name is automatically created if value for this field is different as of specified effective date.
Organization_DataType,Integration_ID_Data,External_Integration_ID_DataType,Integration ID Data
Organization_DataType,Organization_Name,string,Text attribute identifying Organization Name. A new effective-dated organization name is automatically created if value for this field is different as of specified effective date.
Organization_DataType,Availability_Date,date,Date the Organization is available for staffing events.
Organization_DataType,Include_Organization_Code_In_Name,boolean,Boolean attribute identifying whether to include the Organization Code within the name (Display ID within Workday). A new effective-dated organization name is automatically created if value for this field is different as of specified effective date.
Organization_DataType,Organization_Code,string,Text attribute identifying Organization Code. A new effective-dated organization name is automatically created if value for this field is different as of specified effective date.
Organization_DataType,Include_Leader_In_Name,boolean,Boolean attribute identifying whether to include the Manager/Leader Name within the name (Display ID in Workday). A new effective-dated organization name is automatically created if value for this field is different as of specified effective date.
