concept_id,system,object_name,field_name,category,object_description,field_description,note
account.id,Workday,CR_DIM_APPLICANT,ID,HR,,CR_DIM_APPLICANT HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_APPLICANT Total,,HR,,CR_DIM_APPLICANT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_COMP_ELEMENT,ID,HR,,CR_DIM_COMP_ELEMENT HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_COMP_ELEMENT Total,,HR,,CR_DIM_COMP_ELEMENT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_COMP_GRADE,ID,HR,,CR_DIM_COMP_GRADE HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_COMP_GRADE Total,,HR,,CR_DIM_COMP_GRADE Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_COMP_GRADE_PROFILE,ID,HR,,CR_DIM_COMP_GRADE_PROFILE HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_COMP_GRADE_PROFILE Total,,HR,,CR_DIM_COMP_GRADE_PROFILE Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_COMP_PLAN,ID,HR,,CR_DIM_COMP_PLAN HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
compensation.plan,Workday,CR_DIM_COMP_PLAN Total,,HR,,CR_DIM_COMP_PLAN Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_COMP_STEP,ID,HR,,CR_DIM_COMP_STEP HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_COMP_STEP Total,,HR,,CR_DIM_COMP_STEP Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_COMPANIES,ID,HR,,CR_DIM_COMPANIES HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_COMPANIES Total,,HR,,CR_DIM_COMPANIES Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_COMPANIES_CHANGES_MDS,ID,HR,,CR_DIM_COMPANIES_CHANGES_MDS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_COMPANIES_CHANGES_MDS Total,,HR,,CR_DIM_COMPANIES_CHANGES_MDS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_COMPANIES_MDS,ID,HR,,CR_DIM_COMPANIES_MDS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_COMPANIES_MDS Total,,HR,,CR_DIM_COMPANIES_MDS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_CONTINGENT_WORKER_CONTRACT,ID,HR,,CR_DIM_CONTINGENT_WORKER_CONTRACT HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_CONTINGENT_WORKER_CONTRACT Total,,HR,,CR_DIM_CONTINGENT_WORKER_CONTRACT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_COST_CENTER,ID,HR,,CR_DIM_COST_CENTER HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
cost_center.code,Workday,CR_DIM_COST_CENTER Total,,HR,,CR_DIM_COST_CENTER Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_CUSTOM_DEPARTMENT,ID,HR,,CR_DIM_CUSTOM_DEPARTMENT HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_CUSTOM_DEPARTMENT Total,,HR,,CR_DIM_CUSTOM_DEPARTMENT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
absence.start_date,Workday,CR_DIM_DATE_KPI,date_id,HR,,CR_DIM_DATE_KPI HRDH datahub: int,Materialized from weak_canonical_candidate; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_DATE_KPI Total,,HR,,CR_DIM_DATE_KPI Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_DEPARTMENT,ID,HR,,CR_DIM_DEPARTMENT HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_DEPARTMENT Total,,HR,,CR_DIM_DEPARTMENT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EMPLOYEE,ID,HR,,CR_DIM_EMPLOYEE HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EMPLOYEE Total,,HR,,CR_DIM_EMPLOYEE Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EMPLOYEE_ADDRESS_EVENTS,ID,HR,,CR_DIM_EMPLOYEE_ADDRESS_EVENTS HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
account.industry,Workday,CR_DIM_EMPLOYEE_ADDRESS_EVENTS Total,,HR,,CR_DIM_EMPLOYEE_ADDRESS_EVENTS Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
account.id,Workday,CR_DIM_EMPLOYEE_CONTRACT,ID,HR,,CR_DIM_EMPLOYEE_CONTRACT HRDH datahub: int,Materialized from direct_alias_match; Workday HRDH datahub.
invoice.amount,Workday,CR_DIM_EMPLOYEE_CONTRACT Total,,HR,,CR_DIM_EMPLOYEE_CONTRACT Total HRDH datahub: ,Materialized from weak_canonical_candidate; Workday HRDH datahub.
