table,review_row_count
CR_DIM_APPLICANT Total,1
CR_DIM_COMP_ELEMENT Total,1
CR_DIM_COMP_GRADE Total,1
CR_DIM_COMP_GRADE_PROFILE Total,1
CR_DIM_COMP_PLAN Total,1
CR_DIM_COMP_STEP Total,1
CR_DIM_COMPANIES Total,1
CR_DIM_COMPANIES_CHANGES_MDS Total,1
CR_DIM_COMPANIES_MDS Total,1
CR_DIM_CONTINGENT_WORKER_CONTRACT Total,1
CR_DIM_COST_CENTER Total,1
CR_DIM_CUSTOM_DEPARTMENT Total,1
CR_DIM_DATE_KPI,1
CR_DIM_DATE_KPI Total,1
CR_DIM_DEPARTMENT Total,1
CR_DIM_EEPPP,1
CR_DIM_EMPLOYEE Total,1
CR_DIM_EMPLOYEE_ADDRESS_EVENTS Total,1
CR_DIM_EMPLOYEE_CONTRACT Total,1
CR_DIM_EMPLOYEE_CONTRACT_EVENTS Total,1
CR_DIM_EMPLOYEE_DAYFORCE_DEPARTMENT_EVENTS Total,1
CR_DIM_EMPLOYEE_ENCRYPTED,1
CR_DIM_EMPLOYEE_JOB_EVENTS Total,1
CR_DIM_EMPLOYEE_KPI Total,1
CR_DIM_EMPLOYEE_MANAGER_EVENTS Total,1
CR_DIM_EMPLOYEE_ORG_EVENTS Total,1
CR_DIM_EMPLOYEE_PAYMENT_ELECTIONS Total,1
CR_DIM_EMPLOYEE_STAFFING_EVENTS Total,1
CR_DIM_EMPLOYEE_WORK_SCHEDULES Total,1
CR_DIM_EOS_DL Total,1
CR_DIM_EVENT_CLASSIFICATION Total,1
CR_DIM_EXTERNAL_PAYROLL_MAPPING Total,1
CR_DIM_EXTERNAL_PAYROLL_OTP_STATUS Total,1
CR_DIM_EXTERNAL_PAYROLL_OTP_STATUS_bk_ts_04032025 Total,1
CR_DIM_EXTERNAL_PAYROLL_OTP_STATUS_fh_20250423 Total,1
CR_DIM_GBL_0000_CERIDIAN_EXTERNAL_PAYSLIP Total,1
CR_DIM_GBL_0000_CERIDIAN_PAYGROUP_CALENDAR Total,1
CR_DIM_GBL_0000_SAGE_EXTERNAL_PAYSLIP Total,1
CR_DIM_GBL_0000_SAGE_EXTERNAL_PAYSLIP_OLD Total,1
CR_DIM_GBL_0000_SAGE_EXTERNAL_TIMESLIPS Total,1
CR_DIM_GBL_0000_SAGE_EXTERNAL_TIMESLIPS_CLEANUP Total,1
CR_DIM_GEM_ID_MAPPING Total,1
CR_DIM_IAM_AD_ACCOUNT Total,1
CR_DIM_JOB Total,1
CR_DIM_KPI Total,1
CR_DIM_LOA Total,1
CR_DIM_LOCATION Total,1
CR_DIM_PAYGROUP Total,1
CR_DIM_PERFORMANCE_TEMPLATE Total,1
CR_DIM_PERIOD_SCHEDULE Total,1
CR_DIM_POSITION Total,1
CR_DIM_REQUISITION Total,1
CR_DIM_RETIREMENT_BENEFIT_ELECTION Total,1
CR_DIM_SAP_EE Total,1
CR_DIM_SAP_ORG Total,1
CR_DIM_TO Total,1
CR_DIM_UNION_MEMBERSHIP Total,1
CR_DIM_UNION_MEMBERSHIP_HISTORY Total,1
CR_DIM_UNION_MEMBERSHIP_HISTORY_fh_20250511 Total,1
CR_DIM_WD_COMPANY_ORG Total,1
CR_DIM_WORKDAY_PUBLIC_HOLIDAYS Total,1
CR_DIM_WORKER_ADDRESSES Total,1
CR_DIM_WORKER_COLLECTIVE_AGREEMENT_EVENTS Total,1
CR_DIM_WORKER_IDENTIFIERS Total,1
CR_FCT_COMPANIES Total,1
CR_FCT_COMPANIES_MDS Total,1
CR_FCT_COMPENSATION Total,1
CR_FCT_COMPENSATION_PROCESSING Total,1
CR_FCT_COMPENSATION_PROCESSING_STG_0000_PECI_STG_DAYFORCE_PILOT Total,1
CR_FCT_EMPLOYEE Total,1
CR_FCT_EQUIFAX,1
CR_FCT_EQUIFAX Total,1
CR_FCT_EXTERNAL_PAYROLL_ELECTIONS Total,1
CR_FCT_EXTERNAL_PAYROLL_ELECTIONS_PROCESSING Total,1
CR_FCT_EXTERNAL_PAYROLL_OTP Total,1
CR_FCT_EXTERNAL_PAYROLL_OTP_fh_20250318 Total,1
CR_FCT_EXTERNAL_PAYROLL_OTP_PROCESSING Total,1
CR_FCT_IAM_AD_ACCOUNT Total,1
CR_FCT_IAM_AD_ACCOUNT_CURRENT Total,1
CR_FCT_IAM_AD_ACCOUNT_DELTA Total,1
CR_FCT_KPI Total,1
CR_FCT_LOA Total,1
CR_FCT_LOA_PROCESSING Total,1
CR_FCT_PERFORMANCE_TEMPLATE Total,1
CR_FCT_PN_BILLING_EMPLOYEES_DETAILED Total,1
CR_FCT_PN_BILLING_LMS_HEADCOUNT_DETAILED,1
CR_FCT_PN_BILLING_LMS_HEADCOUNT_DETAILED Total,1
CR_FCT_PN_BILLING_PERFORMANCE_DETAILED,1
