wd_table,wd_column,wd_type,wd_max_length,wd_is_identity,wd_is_nullable,classification_bucket,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_knowledge_concept_id,top_knowledge_strength
CR_DIM_APPLICANT Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_COMP_ELEMENT Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_COMP_GRADE Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_COMP_GRADE_PROFILE Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_COMP_PLAN Total,,,,False,False,weak_canonical_candidate,,,compensation.plan,0.600,gross amount,0.550
CR_DIM_COMP_STEP Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_COMPANIES Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_COMPANIES_CHANGES_MDS Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_COMPANIES_MDS Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_CONTINGENT_WORKER_CONTRACT Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_COST_CENTER Total,,,,False,False,weak_canonical_candidate,,,cost_center.code,0.500,cost center,0.550
CR_DIM_CUSTOM_DEPARTMENT Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_DATE_KPI,date_id,int,4,False,False,weak_canonical_candidate,,,absence.start_date,0.500,activity id,0.550
CR_DIM_DATE_KPI Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_DEPARTMENT Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_EMPLOYEE Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
CR_DIM_EMPLOYEE_ADDRESS_EVENTS Total,,,,False,False,weak_canonical_candidate,,,account.industry,0.500,account.owner_employee_id,0.550
CR_DIM_EMPLOYEE_CONTRACT Total,,,,False,False,weak_canonical_candidate,,,invoice.amount,0.600,gross amount,0.550
