wd_table,wd_column,wd_type,wd_max_length,wd_is_identity,wd_is_nullable,classification_bucket,direct_field_canonical_concept_id,description_canonical_concept_id,top_canonical_concept_id,top_canonical_strength,top_knowledge_concept_id,top_knowledge_strength
CR_DIM_APPLICANT,ID,int,4,True,False,direct_alias_match,account.id,,absence.start_date,0.800,account.id,1.000
CR_DIM_COMP_ELEMENT,ID,int,4,True,False,direct_alias_match,account.id,,absence.start_date,0.800,account.id,1.000
CR_DIM_COMP_GRADE,ID,int,4,True,False,direct_alias_match,account.id,,absence.start_date,0.800,account.id,1.000
CR_DIM_COMP_GRADE_PROFILE,ID,int,4,True,False,direct_alias_match,account.id,,absence.start_date,0.800,account.id,1.000
CR_DIM_COMP_PLAN,ID,int,4,True,False,direct_alias_match,account.id,,absence.end_date,0.500,account.id,1.000
CR_DIM_COMP_STEP,ID,int,4,True,False,direct_alias_match,account.id,,absence.start_date,0.800,account.id,1.000
CR_DIM_COMPANIES,ID,int,4,True,False,direct_alias_match,account.id,,absence.start_date,0.800,account.id,1.000
CR_DIM_COMPANIES_CHANGES_MDS,ID,int,4,True,False,direct_alias_match,account.id,,absence.start_date,0.800,account.id,1.000
CR_DIM_COMPANIES_MDS,ID,int,4,True,False,direct_alias_match,account.id,,absence.start_date,0.800,account.id,1.000
CR_DIM_CONTINGENT_WORKER_CONTRACT,ID,int,4,True,False,direct_alias_match,account.id,,absence.start_date,0.800,account.id,1.000
CR_DIM_COST_CENTER,ID,int,4,True,False,direct_alias_match,account.id,,absence.start_date,0.800,account.id,1.000
CR_DIM_CUSTOM_DEPARTMENT,ID,int,4,True,False,direct_alias_match,account.id,,absence.start_date,0.800,account.id,1.000
CR_DIM_DEPARTMENT,ID,int,4,True,False,direct_alias_match,account.id,,absence.start_date,0.800,account.id,1.000
CR_DIM_EEPPP,,,,False,False,unmapped,,,,,,
CR_DIM_EMPLOYEE,ID,int,4,True,False,direct_alias_match,account.id,,absence.start_date,0.800,account.id,1.000
