concept_id,system,object_name,field_name,category,object_description,field_description,note
account.status,QuickBooks,Account,IsActive,account,,Active flag,source=canonical_enrichment_candidates; confidence=high; reason=description_exact_term; module=GL
accounting.posting_date,QuickBooks,JournalEntry,TxnDate,accounting,,Posting date,source=canonical_enrichment_candidates; confidence=medium; reason=description_exact_term; module=GL
address.city,QuickBooks,Employee,EmployeeAddress_City,address,,City,source=canonical_enrichment_candidates; confidence=medium; reason=description_exact_term; module=PAY
address.city,QuickBooks,Vendor,VendorAddress_City,address,,City,source=canonical_enrichment_candidates; confidence=medium; reason=description_exact_term; module=AP
address.country,QuickBooks,Employee,EmployeeAddress_Country,address,,Country,source=canonical_enrichment_candidates; confidence=medium; reason=description_exact_term; module=PAY
address.country,QuickBooks,Vendor,VendorAddress_Country,address,,Country,source=canonical_enrichment_candidates; confidence=medium; reason=description_exact_term; module=AP
address.line1,QuickBooks,Vendor,VendorAddress_Addr1,address,,Address line 1,source=canonical_enrichment_candidates; confidence=high; reason=description_exact_term; module=AP
address.line2,QuickBooks,Vendor,VendorAddress_Addr2,address,,Address line 2,source=canonical_enrichment_candidates; confidence=high; reason=description_exact_term; module=AP
address.postal_code,QuickBooks,Employee,EmployeeAddress_PostalCode,address,,Postal code,source=canonical_enrichment_candidates; confidence=medium; reason=description_exact_term; module=PAY
address.postal_code,QuickBooks,Vendor,VendorAddress_PostalCode,address,,Postal code,source=canonical_enrichment_candidates; confidence=medium; reason=description_exact_term; module=AP
asset.serial_number,QuickBooks,BillItemLine,SerialNumber,asset,,Serial number,source=canonical_enrichment_candidates; confidence=high; reason=description_exact_term; module=AP
asset.serial_number,QuickBooks,InventoryAdjustmentLine,SerialNumber,asset,,Serial number,source=canonical_enrichment_candidates; confidence=high; reason=description_exact_term; module=INV
batch.id,QuickBooks,BillItemLine,LotNumber,batch,,Lot number,source=canonical_enrichment_candidates; confidence=high; reason=description_exact_term; module=AP
batch.id,QuickBooks,InventoryAdjustmentLine,LotNumber,batch,,Lot number,source=canonical_enrichment_candidates; confidence=high; reason=description_exact_term; module=INV
contact.email,QuickBooks,Employee,Email,contact,,Email address,source=canonical_enrichment_candidates; confidence=medium; reason=description_exact_term; module=PAY
contact.email,QuickBooks,Vendor,Email,contact,,Email address,source=canonical_enrichment_candidates; confidence=medium; reason=description_exact_term; module=AP
customer.email,QuickBooks,Customer,Email,customer,,Primary email address,source=canonical_enrichment_candidates; confidence=medium; reason=quickbooks_table_entity_specific_field; module=AR
customer.phone,QuickBooks,Customer,Phone,customer,,Primary phone number,source=canonical_enrichment_candidates; confidence=medium; reason=quickbooks_table_entity_specific_field; module=AR
employee.birth_date,QuickBooks,Employee,BirthDate,employee,,Date of birth,source=canonical_enrichment_candidates; confidence=high; reason=description_exact_term; module=PAY
employee.department,QuickBooks,Employee,Department,employee,,Department name,source=canonical_enrichment_candidates; confidence=high; reason=quickbooks_table_entity_specific_field; module=PAY
employee.email,QuickBooks,Employee,Email,employee,,Email address,source=canonical_enrichment_candidates; confidence=medium; reason=quickbooks_table_entity_specific_field; module=PAY
employee.gender,QuickBooks,Employee,Gender,employee,,Gender (M/F),source=canonical_enrichment_candidates; confidence=high; reason=quickbooks_table_entity_specific_field; module=PAY
