concept_id,entity,attribute,display_name,description,data_type,aliases,is_pii,is_gdpr_special_category,pii_categories,data_subject_types
absence.balance,absence,balance,Absence Balance,Available leave or absence balance for an employee.,decimal,"Balance;absence balance, bal, balance c, bilans odsustva, leave balance, leavebalance, running balance, saldo, time off balance, urlaub rem, vacation balance"
absence.end_date,absence,end_date,Absence End Date,End date of an employee absence or leave event.,date,"absence end date, leave end date, vacation end date"
absence.hours,absence,hours,Absence Hours,Number of absence hours recorded.,decimal,"Hours;absence hours, leave hours, stdaz, time off hours"
absence.start_date,absence,start_date,Absence Start Date,Start date of an employee absence or leave event.,date,"absence start date, leave start date, vacation start date"
absence.type,absence,type,Absence Type,"Category of absence (vacation, sick leave)",string,"absence code, absence type, awart, leave type, leavetype, tip odsustva, urlaub typ"
account.id,account,id,Account ID,"Stable identifier for a customer, prospect, or business account in CRM or ERP contexts.",string,"ID;account id, account number, acct id, crm account id, customer account id"
account.industry,account,industry,Account Industry,Industry classification assigned to a business account.,string,"Type;account industry, brsch, delatnost, ind, industrija, industry, industrycode, naics, sector, sic, vertical"
account.name,account,name,Account Name,Display or legal name of the business account.,string,"account name, accountref fullname companyname id account legal name, bname, customer account name, g l account long text, organization name, txt50"
account.owner_employee_id,account,owner_employee_id,Account Owner Employee ID,Employee or user responsible for managing the account relationship.,string,"account manager id, account owner, accountowner, acct own, customer owner, sales owner id, vlasnik naloga"
account.status,account,status,Account Status,Current lifecycle or activity status of the account.,string,"IsActive;account lifecycle status, account status, active flag, aktivan flag, customer status, is active, isactive"
account.territory_id,account,territory_id,Account Territory ID,Sales territory assigned to the account.,string,"account territory, sales territory id, territory assignment"
account.type,account,type,Account Type,"Classification of the account such as prospect, customer, partner, reseller, or competitor.",string,"account category, account classification, account type, customer type, customertype, koart, kunnr typ, tip kupca"
accounting.document_currency_code,accounting,document_currency_code,Accounting Document Currency,Currency code used for accounting document amounts.,string,"CurrencyCode;accounting currency, document currency, waers"
accounting.document_number,accounting,document_number,Accounting Document Number,Identifier for an accounting document.,string,"accounting document number, belnr, broj dokumenta, doc no, documentnumber, financial document number"
accounting.local_currency_amount,accounting,local_currency_amount,Local Currency Amount,Amount translated into the company or ledger local currency.,decimal,"company code currency amount, dmbtr, local currency amount"
accounting.posting_date,accounting,posting_date,Posting Date,Date used to post a transaction into accounting ledgers.,date,"TxnDate;accounting posting date, budat, ledger posting date, posting date"
address.city,address,city,Address City,City component of a postal or physical address.,string,"address city, address locality, address town, ltxa1, maktg"
address.country,address,country,Address Country,Country name component of a postal or physical address. Use address.country_code for country keys/codes.,string,"address country, address country name"
address.country_code,address,country_code,Address Country Code,Country key or ISO country code for an address.,string,"address country code, address iso country, country code for address, land1"
address.line1,address,line1,Address Line 1,First line of a street address,string,"VendorAddress_Addr1;address line 1, address1, addressline1, adresa linija 1, em first address line1, lo address line1, stras, street address"
address.line2,address,line2,Address Line 2,"Second line of a street address (apartment, suite, floor)",string,"VendorAddress_Addr2;address line 2, address2, addressline2, adresa linija 2, em first address line2, stra2"
address.postal_code,address,postal_code,Address Postal Code,Postal or ZIP code within an address,string,"EmployeeAddress_PostalCode;VendorAddress_PostalCode;postal code, postcode, zip, zip code"
address.region,address,region,State/Region,"State, province, or region component of an address.",string,"address province, address region, address state, em first address state"
address.region_code,address,region_code,Address Region Code,"State, province, or region code within an address country.",string,"address province code, address region code, address state code"
ap_payable.aging_bucket,ap_payable,aging_bucket,AP Aging Bucket,Aging classification of an open payable.,string,"ap aging bucket, overdue supplier bucket, payables aging"
ap_payable.amount,ap_payable,amount,Accounts Payable Amount,Total payable amount owed to a supplier.,decimal,"accounts payable amount, ap amount, supplier payable amount"
ap_payable.open_amount,ap_payable,open_amount,AP Open Amount,Outstanding unpaid payable amount.,decimal,"ap open amount, open payable, outstanding payable, unpaid supplier amount"
approval.approved_date,approval,approved_date,Approved Date,Date when approval was granted.,date,"approval date, approvaldate, approved date, datum odobrenja, gen dat, release date"
approval.approver_id,approval,approver_id,Approver ID,Employee or user assigned to approve a request or document.,string,"approval user id, approver id, manager approval id",true,,"direct_identifier,employment",employee
approval.status,approval,status,Approval Status,Current approval state of a business document or request.,string,"approval status, release status, workflow status"
ar_receivable.aging_bucket,ar_receivable,aging_bucket,AR Aging Bucket,Aging classification of an open receivable.,string,"ar aging bucket, days past due bucket, overdue bucket, receivables aging"
ar_receivable.amount,ar_receivable,amount,Accounts Receivable Amount,Total receivable amount owed by a customer.,decimal,"accounts receivable amount, ar amount, customer receivable amount"
