Kategorija/Domen,Naziv (Engleski),Naziv (Srpski),snake_case,camelCase,PascalCase,kebab-case,UPPER_SNAKE,lowercase,SAP style,Oracle/QAD style,Salesforce style,Odoo style,MS Dynamics style,Skracenice,Alternativni nazivi,Tip podatka,Tipicna duzina,Primer vrednosti
Osobe/Kontakti,First Name,Ime,first_name,firstName,FirstName,first-name,FIRST_NAME,firstname,VORNA,FNAME,FirstName,name (split),firstname,"fname, fn, given_name","given_name, forename, christian_name",VARCHAR,50,Marko
Osobe/Kontakti,Last Name,Prezime,last_name,lastName,LastName,last-name,LAST_NAME,lastname,NACHN,LNAME,LastName,name (split),lastname,"lname, ln, surname","surname, family_name",VARCHAR,50,Petrovic
Osobe/Kontakti,Middle Name,Srednje ime,middle_name,middleName,MiddleName,middle-name,MIDDLE_NAME,middlename,MIDNM,MNAME,MiddleName,middle_name,middlename,"mname, mi, midname","middle_initial, second_name",VARCHAR,50,Aleksandar
Osobe/Kontakti,Full Name,Puno ime,full_name,fullName,FullName,full-name,FULL_NAME,fullname,NAME1,FULLNAME,Name,name,fullname,"fname, name","complete_name, display_name",VARCHAR,150,Marko Petrovic
Osobe/Kontakti,Display Name,Prikazno ime,display_name,displayName,DisplayName,display-name,DISPLAY_NAME,displayname,DISPNM,DISPNAME,Name,display_name,displayname,"dispname, dn","screen_name, public_name",VARCHAR,150,M. Petrovic
Osobe/Kontakti,Title/Salutation,Titula/Pozdrav,title,title,Title,title,TITLE,title,ANRED,TITLE,Salutation,title,salutation,"salut, prefix","prefix, honorific",VARCHAR,20,"Mr., Dr."
Osobe/Kontakti,Suffix,Sufiks,suffix,suffix,Suffix,suffix,SUFFIX,suffix,TITL2,SUFFIX,Suffix,name_suffix,suffix,sfx,"generation, postnominal",VARCHAR,20,"Jr., PhD"
Osobe/Kontakti,Date of Birth,Datum rodjenja,date_of_birth,dateOfBirth,DateOfBirth,date-of-birth,DATE_OF_BIRTH,dateofbirth,GBDAT,BIRTH_DATE,Birthdate,birthdate,birthdate,"dob, bday","birth_date, born_on",DATE,-,1985-04-15
Osobe/Kontakti,Birth Place,Mesto rodjenja,birth_place,birthPlace,BirthPlace,birth-place,BIRTH_PLACE,birthplace,GBORT,BIRTH_PLACE,BirthPlace__c,place_of_birth,birthplace,"bp, pob",place_of_birth,VARCHAR,100,Beograd
Osobe/Kontakti,Gender,Pol,gender,gender,Gender,gender,GENDER,gender,GESCH,SEX,Gender__c,gender,gendercode,"sex, gen",sex,CHAR,1,"M, F"
Osobe/Kontakti,Nationality,Nacionalnost,nationality,nationality,Nationality,nationality,NATIONALITY,nationality,NATIO,NATIONALITY,Nationality__c,nationality_id,nationality,nat,"citizenship, ethnicity",VARCHAR,50,Serbian
Osobe/Kontakti,Marital Status,Bracno stanje,marital_status,maritalStatus,MaritalStatus,marital-status,MARITAL_STATUS,maritalstatus,FAMST,MARITAL_STAT,MaritalStatus__c,marital,familystatuscode,ms,marriage_status,VARCHAR,20,Married
Osobe/Kontakti,Email,Email,email,email,Email,email,EMAIL,email,SMTP_ADDR,EMAIL_ADDR,Email,email,emailaddress1,"mail, em","email_address, e_mail",VARCHAR,100,marko@example.com
Osobe/Kontakti,Personal Email,Privatni email,personal_email,personalEmail,PersonalEmail,personal-email,PERSONAL_EMAIL,personalemail,SMTP_PRIV,PERS_EMAIL,PersonalEmail__c,email_personal,emailaddress2,pers_email,"private_email, home_email",VARCHAR,100,marko.lichni@gmail.com
Osobe/Kontakti,Work Email,Poslovni email,work_email,workEmail,WorkEmail,work-email,WORK_EMAIL,workemail,SMTP_WORK,WORK_EMAIL,WorkEmail__c,email_work,emailaddress1,w_email,"business_email, office_email",VARCHAR,100,marko@company.com
Osobe/Kontakti,Phone Number,Broj telefona,phone_number,phoneNumber,PhoneNumber,phone-number,PHONE_NUMBER,phonenumber,TELF1,PHONE,Phone,phone,telephone1,"tel, ph, phno","contact_number, tel_number",VARCHAR,20,381111234567
Osobe/Kontakti,Mobile Phone,Mobilni telefon,mobile_phone,mobilePhone,MobilePhone,mobile-phone,MOBILE_PHONE,mobilephone,MOB_NUMBER,MOBILE,MobilePhone,mobile,mobilephone,"mob, cell","cell_phone, gsm",VARCHAR,20,381641234567
Osobe/Kontakti,Home Phone,Kucni telefon,home_phone,homePhone,HomePhone,home-phone,HOME_PHONE,homephone,TELF2,HOME_PHONE,HomePhone,phone_home,telephone2,h_phone,residence_phone,VARCHAR,20,381112345
Osobe/Kontakti,Work Phone,Poslovni telefon,work_phone,workPhone,WorkPhone,work-phone,WORK_PHONE,workphone,TELF_WORK,WORK_PHONE,OtherPhone,phone_work,telephone3,w_phone,"office_phone, business_phone",VARCHAR,20,381117890
Osobe/Kontakti,Fax Number,Broj faksa,fax_number,faxNumber,FaxNumber,fax-number,FAX_NUMBER,faxnumber,TELFX,FAX,Fax,fax,fax,fx,telefax,VARCHAR,20,381114567
Osobe/Kontakti,National ID Number,Maticni broj (JMBG),national_id,nationalId,NationalId,national-id,NATIONAL_ID,nationalid,PERNR_NAT,NATL_ID,NationalId__c,identification_id,governmentid,"jmbg, nid","ssn, personal_id, citizen_id",VARCHAR,13,101985710001
Osobe/Kontakti,Tax ID Number,Poreski broj (PIB),tax_id,taxId,TaxId,tax-id,TAX_ID,taxid,STCD1,TAX_ID,TaxId__c,vat,taxregistrationnumber,"tin, pib","vat_number, tax_number, fiscal_id",VARCHAR,15,103456789
Osobe/Kontakti,Passport Number,Broj pasosa,passport_number,passportNumber,PassportNumber,passport-number,PASSPORT_NUMBER,passportnumber,REISP,PASSPORT_NO,Passport__c,passport_id,passportnumber,"pass, ppno",travel_doc_number,VARCHAR,20,7123456
Osobe/Kontakti,ID Card Number,Broj licne karte,id_card_number,idCardNumber,IdCardNumber,id-card-number,ID_CARD_NUMBER,idcardnumber,PERID,ID_CARD,IdCard__c,identification_id,identityid,"idno, lk","identity_card, id_number",VARCHAR,20,123456789
Osobe/Kontakti,Driver License Number,Broj vozacke dozvole,driver_license_number,driverLicenseNumber,DriverLicenseNumber,driver-license-number,DRIVER_LICENSE_NUMBER,driverlicensenumber,FUEHR,DL_NUMBER,DriverLicense__c,driver_license,drivinglicensenumber,"dl, dlno","license_number, dln",VARCHAR,20,SR123456
Osobe/Kontakti,Username,Korisnicko ime,username,username,Username,username,USERNAME,username,BNAME,USERNAME,Username,login,domainname,"user, uname, login","user_name, account_name",VARCHAR,50,mpetrovic
